index,model_name,model_A,model_B,P({a} > {b}),P({a} == {b}),P({b} > {a}),left,within,right
122,dcnn,25,40,0.0,1.0,0.0,0.0,1.0,0.0
123,dcnn,25,45,0.0,0.9986,0.0014,0.0,0.9986,0.0014
124,dcnn,25,50,0.0,1.0,0.0,0.0,1.0,0.0
125,dcnn,30,35,0.0,0.99994,6e-05,0.0,0.99994,6e-05
126,dcnn,30,40,0.0,1.0,0.0,0.0,1.0,0.0
127,dcnn,30,45,2e-05,0.99996,2e-05,2e-05,0.99996,2e-05
128,dcnn,30,50,0.001,0.99894,6e-05,0.001,0.99894,6e-05
129,dcnn,35,40,0.0,1.0,0.0,0.0,1.0,0.0
130,dcnn,35,45,0.0,0.99996,4e-05,0.0,0.99996,4e-05
131,dcnn,35,50,0.00018,0.99982,0.0,0.00018,0.99982,0.0
132,dcnn,40,45,0.0,1.0,0.0,0.0,1.0,0.0
133,dcnn,40,50,0.0,1.0,0.0,0.0,1.0,0.0
134,dcnn,45,50,0.0,1.0,0.0,0.0,1.0,0.0
135,rcnn,5,10,0.0,0.0,1.0,0.0,0.0,1.0
136,rcnn,5,15,0.0,0.0,1.0,0.0,0.0,1.0
137,rcnn,5,20,0.0,0.0,1.0,0.0,0.0,1.0
138,rcnn,5,25,0.0,0.0,1.0,0.0,0.0,1.0
139,rcnn,5,30,0.0,0.0,1.0,0.0,0.0,1.0
140,rcnn,5,35,0.0,0.0,1.0,0.0,0.0,1.0
141,rcnn,5,40,0.0,0.0,1.0,0.0,0.0,1.0
142,rcnn,5,45,0.0,0.0,1.0,0.0,0.0,1.0
143,rcnn,5,50,0.0,0.0,1.0,0.0,0.0,1.0
144,rcnn,10,15,0.0,0.0027,0.9973,0.0,0.0027,0.9973
145,rcnn,10,20,0.0,0.00016,0.99984,0.0,0.00016,0.99984
146,rcnn,10,25,0.0,0.0,1.0,0.0,0.0,1.0
147,rcnn,10,30,0.0,2e-05,0.99998,0.0,2e-05,0.99998
148,rcnn,10,35,0.0,0.0,1.0,0.0,0.0,1.0
149,rcnn,10,40,0.0,0.0,1.0,0.0,0.0,1.0
150,rcnn,10,45,0.0,0.0,1.0,0.0,0.0,1.0
151,rcnn,10,50,0.0,2e-05,0.99998,0.0,2e-05,0.99998
152,rcnn,15,20,2e-05,0.99432,0.00566,2e-05,0.99432,0.00566
153,rcnn,15,25,0.0,0.52918,0.47082,0.0,0.52918,0.47082
154,rcnn,15,30,0.0,0.72088,0.27912,0.0,0.72088,0.27912
155,rcnn,15,35,0.0,0.63394,0.36606,0.0,0.63394,0.36606
156,rcnn,15,40,0.0,0.25674,0.74326,0.0,0.25674,0.74326
157,rcnn,15,45,0.0,0.37362,0.62638,0.0,0.37362,0.62638
158,rcnn,15,50,0.0,0.58234,0.41766,0.0,0.58234,0.41766
159,rcnn,20,25,0.0,0.94814,0.05186,0.0,0.94814,0.05186
160,rcnn,20,30,0.0,0.9437,0.0563,0.0,0.9437,0.0563
161,rcnn,20,35,0.0,0.9776,0.0224,0.0,0.9776,0.0224
162,rcnn,20,40,0.0,0.45294,0.54706,0.0,0.45294,0.54706
163,rcnn,20,45,0.0,0.73812,0.26188,0.0,0.73812,0.26188
164,rcnn,20,50,0.0,0.97498,0.02502,0.0,0.97498,0.02502
165,rcnn,25,30,0.00026,0.99974,0.0,0.00026,0.99974,0.0
166,rcnn,25,35,0.0001,0.9999,0.0,0.0001,0.9999,0.0
167,rcnn,25,40,0.0,0.99914,0.00086,0.0,0.99914,0.00086
168,rcnn,25,45,0.0,0.99976,0.00024,0.0,0.99976,0.00024
169,rcnn,25,50,0.0,1.0,0.0,0.0,1.0,0.0
170,rcnn,30,35,0.00182,0.99796,0.00022,0.00182,0.99796,0.00022
171,rcnn,30,40,0.00018,0.96214,0.03768,0.00018,0.96214,0.03768
172,rcnn,30,45,0.0,0.99496,0.00504,0.0,0.99496,0.00504
173,rcnn,30,50,0.0,1.0,0.0,0.0,1.0,0.0
174,rcnn,35,40,0.0,0.99986,0.00014,0.0,0.99986,0.00014
175,rcnn,35,45,0.0,1.0,0.0,0.0,1.0,0.0
176,rcnn,35,50,0.0,1.0,0.0,0.0,1.0,0.0
177,rcnn,40,45,0.0,0.99998,2e-05,0.0,0.99998,2e-05
178,rcnn,40,50,0.00204,0.99794,2e-05,0.00204,0.99794,2e-05
179,rcnn,45,50,0.0,1.0,0.0,0.0,1.0,0.0
180,lstm,5,10,0.0,0.0,1.0,0.0,0.0,1.0
181,lstm,5,15,0.0,0.0,1.0,0.0,0.0,1.0
182,lstm,5,20,0.0,0.0,1.0,0.0,0.0,1.0
183,lstm,5,25,0.0,0.0,1.0,0.0,0.0,1.0
184,lstm,5,30,0.0,0.0,1.0,0.0,0.0,1.0
185,lstm,5,35,0.0,0.0,1.0,0.0,0.0,1.0
186,lstm,5,40,0.0,0.0,1.0,0.0,0.0,1.0
187,lstm,5,45,0.0,0.0,1.0,0.0,0.0,1.0
188,lstm,5,50,0.0,0.0,1.0,0.0,0.0,1.0
189,lstm,10,15,0.0,0.00098,0.99902,0.0,0.00098,0.99902
190,lstm,10,20,0.0,0.0,1.0,0.0,0.0,1.0
191,lstm,10,25,0.0,0.0,1.0,0.0,0.0,1.0
192,lstm,10,30,0.0,0.0,1.0,0.0,0.0,1.0
193,lstm,10,35,0.0,0.0,1.0,0.0,0.0,1.0
194,lstm,10,40,0.0,0.0,1.0,0.0,0.0,1.0
195,lstm,10,45,0.0,0.0,1.0,0.0,0.0,1.0
196,lstm,10,50,0.0,0.0,1.0,0.0,0.0,1.0
197,lstm,15,20,0.0,0.70676,0.29324,0.0,0.70676,0.29324
198,lstm,15,25,0.0,0.21916,0.78084,0.0,0.21916,0.78084
199,lstm,15,30,0.0,0.45336,0.54664,0.0,0.45336,0.54664
200,lstm,15,35,0.0,0.35058,0.64942,0.0,0.35058,0.64942
201,lstm,15,40,0.0,0.47098,0.52902,0.0,0.47098,0.52902
202,lstm,15,45,0.0,0.42702,0.57298,0.0,0.42702,0.57298
203,lstm,15,50,0.0,0.3424,0.6576,0.0,0.3424,0.6576
204,lstm,20,25,0.0,1.0,0.0,0.0,1.0,0.0
205,lstm,20,30,0.0,1.0,0.0,0.0,1.0,0.0
206,lstm,20,35,0.0,1.0,0.0,0.0,1.0,0.0
207,lstm,20,40,0.0,0.99998,2e-05,0.0,0.99998,2e-05
208,lstm,20,45,0.0,0.99998,2e-05,0.0,0.99998,2e-05
209,lstm,20,50,0.0,1.0,0.0,0.0,1.0,0.0
210,lstm,25,30,0.0001,0.9999,0.0,0.0001,0.9999,0.0
211,lstm,25,35,0.0,1.0,0.0,0.0,1.0,0.0
212,lstm,25,40,0.0,1.0,0.0,0.0,1.0,0.0
213,lstm,25,45,0.0,1.0,0.0,0.0,1.0,0.0
214,lstm,25,50,0.0,1.0,0.0,0.0,1.0,0.0
215,lstm,30,35,0.0,0.99994,6e-05,0.0,0.99994,6e-05
216,lstm,30,40,2e-05,0.9998,0.00018,2e-05,0.9998,0.00018
217,lstm,30,45,0.0,1.0,0.0,0.0,1.0,0.0
218,lstm,30,50,0.0,1.0,0.0,0.0,1.0,0.0
219,lstm,35,40,0.00018,0.99982,0.0,0.00018,0.99982,0.0
220,lstm,35,45,0.0,0.99996,4e-05,0.0,0.99996,4e-05
221,lstm,35,50,0.0,1.0,0.0,0.0,1.0,0.0
222,lstm,40,45,0.0,0.99986,0.00014,0.0,0.99986,0.00014
223,lstm,40,50,0.0,1.0,0.0,0.0,1.0,0.0
224,lstm,45,50,0.0,1.0,0.0,0.0,1.0,0.0
225,gru,5,10,0.0,0.0,1.0,0.0,0.0,1.0
226,gru,5,15,0.0,0.0,1.0,0.0,0.0,1.0
227,gru,5,20,0.0,0.0,1.0,0.0,0.0,1.0
228,gru,5,25,0.0,0.0,1.0,0.0,0.0,1.0
229,gru,5,30,0.0,0.0,1.0,0.0,0.0,1.0
230,gru,5,35,0.0,0.0,1.0,0.0,0.0,1.0
231,gru,5,40,0.0,0.0,1.0,0.0,0.0,1.0
232,gru,5,45,0.0,0.0,1.0,0.0,0.0,1.0
233,gru,5,50,0.0,0.0,1.0,0.0,0.0,1.0
234,gru,10,15,0.0,0.02342,0.97658,0.0,0.02342,0.97658
235,gru,10,20,0.0,0.00128,0.99872,0.0,0.00128,0.99872
236,gru,10,25,0.0,2e-05,0.99998,0.0,2e-05,0.99998
237,gru,10,30,0.0,0.00026,0.99974,0.0,0.00026,0.99974
238,gru,10,35,0.0,4e-05,0.99996,0.0,4e-05,0.99996
239,gru,10,40,0.0,8e-05,0.99992,0.0,8e-05,0.99992
240,gru,10,45,0.0,0.00016,0.99984,0.0,0.00016,0.99984
241,gru,10,50,0.0,0.0,1.0,0.0,0.0,1.0
242,gru,15,20,0.00022,0.9646,0.03518,0.00022,0.9646,0.03518
243,gru,15,25,0.0,0.58052,0.41948,0.0,0.58052,0.41948
244,gru,15,30,0.0,0.59894,0.40106,0.0,0.59894,0.40106
245,gru,15,35,0.0,0.93824,0.06176,0.0,0.93824,0.06176
246,gru,15,40,0.0,0.7559,0.2441,0.0,0.7559,0.2441
247,gru,15,45,0.0,0.80148,0.19852,0.0,0.80148,0.19852
248,gru,15,50,0.0,0.78108,0.21892,0.0,0.78108,0.21892
249,gru,20,25,0.0,0.95554,0.04446,0.0,0.95554,0.04446
250,gru,20,30,0.0,0.99432,0.00568,0.0,0.99432,0.00568
251,gru,20,35,0.0,0.9996,0.0004,0.0,0.9996,0.0004
252,gru,20,40,0.0,0.9887,0.0113,0.0,0.9887,0.0113
253,gru,20,45,0.00018,0.98164,0.01818,0.00018,0.98164,0.01818
254,gru,20,50,0.0,0.9916,0.0084,0.0,0.9916,0.0084
255,gru,25,30,0.00014,0.99904,0.00082,0.00014,0.99904,0.00082
256,gru,25,35,0.0,1.0,0.0,0.0,1.0,0.0
257,gru,25,40,0.00034,0.99964,2e-05,0.00034,0.99964,2e-05
258,gru,25,45,0.03014,0.96984,2e-05,0.03014,0.96984,2e-05
259,gru,25,50,0.0,1.0,0.0,0.0,1.0,0.0
260,gru,30,35,0.00018,0.99982,0.0,0.00018,0.99982,0.0
261,gru,30,40,0.00016,0.99952,0.00032,0.00016,0.99952,0.00032
262,gru,30,45,0.02312,0.97686,2e-05,0.02312,0.97686,2e-05
263,gru,30,50,0.00024,0.99948,0.00028,0.00024,0.99948,0.00028
264,gru,35,40,0.0,0.99998,2e-05,0.0,0.99998,2e-05
265,gru,35,45,4e-05,0.99966,0.0003,4e-05,0.99966,0.0003
266,gru,35,50,0.0,0.99998,2e-05,0.0,0.99998,2e-05
267,gru,40,45,0.00166,0.99812,0.00022,0.00166,0.99812,0.00022
268,gru,40,50,0.0,0.9998,0.0002,0.0,0.9998,0.0002
269,gru,45,50,8e-05,0.99936,0.00056,8e-05,0.99936,0.00056
