index,model_name,max_seq_length,vocab_size,embedding_dim,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,train_loss_std,train_acc_std,val_loss_std,val_acc_std,test_loss_std,test_acc_std,precision_micro_std,recall_micro_std,f1_micro_std,precision_macro_std,recall_macro_std,f1_macro_std,precision_weighted_std,recall_weighted_std,f1_weighted_std
10,dcnn,5,10000,50,0.9631685509999999,69.6108733,0.913833955,70.3462004,0.9919991239999998,67.8282888,0.679970581024761,0.679970581024761,0.679970581024761,0.40470831537750734,0.3134517918369924,0.40470831537750734,0.6499010708126838,0.679970581024761,0.6403650899746107,0.0021424899323681697,0.06844492464107112,0.005744879085394706,0.21714453748198348,0.009024078029212493,0.387935098213263,0.004068279105459703,0.004068279105459703,0.004068279105459703,0.026239646272062312,0.01085647780423797,0.026239646272062312,0.008557154159402851,0.004068279105459703,0.006522002984739591
11,dcnn,10,10000,50,0.8455768889999999,72.9420285,0.802789404,73.9009375,0.8805557609999999,71.13427899999999,0.7127237067908803,0.7127237067908803,0.7127237067908803,0.4193005447095165,0.33107959781588203,0.4193005447095165,0.68070522126366,0.7127237067908803,0.6802770357322689,0.0026236422674275287,0.07151120350180991,0.002718192234303296,0.15411957191612843,0.013628888968523552,0.7266767684536322,0.007187403757267035,0.007187403757267035,0.007187403757267051,0.021133784631459526,0.014569795676565815,0.021133784631459526,0.006965694271861066,0.007187403757267035,0.009713198346560667
12,dcnn,15,10000,50,0.8187921450000001,73.72766049999998,0.772372981,74.65960279999999,0.859806917,71.94905680000002,0.7209610198578084,0.7209610198578084,0.7209610198578084,0.42931650320858805,0.3361253366436605,0.42931650320858805,0.691816800597956,0.7209610198578084,0.6902317477930653,0.0025240457425166896,0.05001301174750092,0.003814222342328928,0.17781825085544117,0.009419973492110689,0.3537874317699842,0.0035915642362164104,0.0035915642362164104,0.0035915642362163813,0.030526907544649543,0.016660942465749142,0.030526907544649543,0.007148533316974189,0.0035915642362164104,0.005549167981703043
13,dcnn,20,10000,50,0.8199990759999999,73.8089165,0.76923705,74.8982143,0.8535587490000001,72.44612849999999,0.7260357930865406,0.7260357930865406,0.7260357930865406,0.42095889746728876,0.33512988042980874,0.42095889746728876,0.6957076066705896,0.7260357930865406,0.6965062733612429,0.0019053208941523115,0.04513795367598245,0.0028645148831016715,0.15451221766150944,0.00814984450820512,0.5100656613561845,0.005103700503352885,0.005103700503352885,0.005103700503352853,0.017101126124736743,0.016194463265068564,0.017101126124736743,0.005257036878937479,0.005103700503352885,0.007370306470239891
14,dcnn,25,10000,50,0.810727958,73.981397,0.7625682580000002,74.9662691,0.850591573,72.29297040000002,0.7244422652610935,0.7244422652610935,0.7244422652610935,0.41603524404453757,0.3382580968663532,0.41603524404453757,0.693346716784858,0.7244422652610935,0.6946494921267418,0.0020812928643770025,0.06649834529604157,0.004560448777226503,0.1944092560659059,0.004521742186901136,0.49017302242466926,0.004894983780950216,0.004894983780950216,0.00489498378095021,0.013696178056331504,0.007920362060107898,0.013696178056331504,0.006718506173463395,0.004894983780950216,0.005994218724036052
15,dcnn,30,10000,50,0.810103912,74.0091567,0.762732021,75.10160069999999,0.8516377370000001,72.6232121,0.7277028683500858,0.7277028683500858,0.7277028683500858,0.4346890631776845,0.3349983789167637,0.4346890631776845,0.6954380526468004,0.7277028683500858,0.6971741398803089,0.002344424096057114,0.03795468960352569,0.003655687103746572,0.23157769459660113,0.009614536670559557,0.41393225083083157,0.004213186633371009,0.004213186633371009,0.004213186633370987,0.036954442614475884,0.014535990761771558,0.036954442614475884,0.0036066191773912893,0.004213186633371009,0.00566578216917167
16,dcnn,35,10000,50,0.8098255679999999,74.01931119999999,0.763640445,75.0737032,0.844799818,72.67513120000001,0.7281686687913704,0.7281686687913704,0.7281686687913704,0.4359958084293556,0.34002313563946474,0.4359958084293556,0.698036017640135,0.7281686687913704,0.6997452662591042,0.0014172394534744336,0.02954229014593316,0.006051400609324956,0.22042091260475197,0.00563365585783397,0.2523541068616828,0.00258109066552256,0.00258109066552256,0.0025810906655225406,0.02229333114355251,0.0206427944500155,0.02229333114355251,0.007846690010733414,0.00258109066552256,0.0032769111684868082
17,dcnn,40,10000,50,0.808342645,74.0328368,0.762686219,75.0382592,0.853039839,72.48551599999999,0.7264035302770288,0.7264035302770288,0.7264035302770286,0.4369813354994608,0.34213272323453847,0.4369813354994608,0.6939120296792758,0.7264035302770288,0.6969006881848986,0.0027049452153181178,0.06512891191373273,0.0030215375928322984,0.17962672635080965,0.01219501194092115,0.5538209673435436,0.005518327373092787,0.005518327373092787,0.005518327373092766,0.032370549348896986,0.015753425542205237,0.032370549348896986,0.0043444198249408756,0.005518327373092787,0.008164454528472611
18,dcnn,45,10000,50,0.8095493539999999,74.0489459,0.7615393850000001,75.0900243,0.8524306660000001,72.4724943,0.7261338563373376,0.7261338563373376,0.7261338563373376,0.4355767020899807,0.3345670070812235,0.4355767020899807,0.6968189716541454,0.7261338563373376,0.6951240101356534,0.001676018025786126,0.05254566113909369,0.004501219725628114,0.2900359212982858,0.010873753280787102,0.4278684175247377,0.0044225964398313155,0.0044225964398313155,0.004422596439831315,0.024391717004151336,0.013984531560338817,0.024391717004151336,0.004087824524445732,0.0044225964398313155,0.007003603228422854
19,dcnn,50,10000,50,0.8088499929999999,74.0409881,0.762858103,74.988642,0.8538892109999999,72.62239679999999,0.7275557734738908,0.7275557734738908,0.7275557734738907,0.4356442885702786,0.33838410630911764,0.4356442885702786,0.6973901219474117,0.7275557734738908,0.6974904697201417,0.0020395301690561275,0.05109770041238009,0.003391465392258956,0.2613313220653888,0.007989508529193423,0.48163883628383347,0.004962795548608911,0.004962795548608911,0.004962795548608886,0.020356377067285065,0.018169976632708567,0.020356377067285065,0.005637235256282123,0.004962795548608911,0.007291526774306801
