index,model_name,vocab_size,max_seq_length,embedding_dim,embedding_type,embedding_source,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
32,dcnn,500,128,50,glove,glove.6B.50d,0.8342707450000001,0.730870606,0.7892778410000001,0.7417877199999999,0.8727840419999999,0.7143733779999999,0.7157391517528806,0.7157391517528806,0.7157391517528806,0.3767049916368765,0.3040532588866057,0.3767049916368765,0.6844945024184181,0.7157391517528806,0.6825911027443108
33,dcnn,1000,128,50,glove,glove.6B.50d,0.82266867,0.734973574,0.777424656,0.7450278500000002,0.8622930629999999,0.722846699,0.7244422652610935,0.7244422652610935,0.7244422652610935,0.43430103691759525,0.33877914082263455,0.43430103691759525,0.6959342405901519,0.7244422652610935,0.6935423161947897
34,dcnn,1500,128,50,glove,glove.6B.50d,0.818292982,0.736617468,0.772808792,0.7457966149999999,0.8530137360000001,0.72661297,0.7281686687913703,0.7281686687913703,0.7281686687913703,0.43292562534234086,0.3405229204348815,0.43292562534234086,0.6978448731706166,0.7281686687913703,0.6985247261272384
35,dcnn,2000,128,50,glove,glove.6B.50d,0.8149509010000001,0.7377367899999998,0.772292623,0.7469857820000001,0.852236757,0.726505539,0.7281441529786712,0.7281441529786712,0.7281441529786712,0.4461613012808335,0.3463874314135621,0.4461613012808335,0.7017463196594165,0.7281441529786712,0.6981204441644702
36,dcnn,2500,128,50,glove,glove.6B.50d,0.8149914639999999,0.737810952,0.7733567669999999,0.747581059,0.851700954,0.7259114799999999,0.7274086785976955,0.7274086785976955,0.7274086785976955,0.43459926410964717,0.341916159528732,0.43459926410964717,0.6975621630783346,0.7274086785976955,0.6982527778507926
37,dcnn,3000,128,50,glove,glove.6B.50d,0.8131199389999999,0.738546004,0.7719033,0.7475270740000001,0.8492086520000001,0.7266585489999999,0.7282422162294679,0.7282422162294679,0.7282422162294679,0.4494539076888711,0.33593609119723833,0.4494539076888711,0.6976592823594754,0.7282422162294679,0.6995628357406368
38,dcnn,3500,128,50,glove,glove.6B.50d,0.8139832349999999,0.7385832609999998,0.7713901699999999,0.747796709,0.8560472069999999,0.7226302320000001,0.7241971071341016,0.7241971071341016,0.7241971071341017,0.4284460449073223,0.3369559897917649,0.4284460449073223,0.6929544317109894,0.7241971071341016,0.692802335248335
39,dcnn,4000,128,50,glove,glove.6B.50d,0.812069771,0.739163338,0.7692042900000001,0.7486518199999999,0.8532726070000001,0.724547547,0.7260112772738416,0.7260112772738416,0.7260112772738416,0.42636366429642647,0.33457588586550735,0.42636366429642647,0.6932190890548878,0.7260112772738416,0.695807716405748
40,dcnn,4500,128,50,glove,glove.6B.50d,0.8127640209999999,0.7390352559999999,0.7675825920000001,0.749334231,0.858041088,0.722490248,0.7240009806325078,0.7240009806325078,0.7240009806325081,0.42420329954796,0.33419055064969105,0.42420329954796,0.6929973280230316,0.7240009806325078,0.6934346523964139
41,dcnn,5000,128,50,glove,glove.6B.50d,0.809476656,0.740118718,0.764457443,0.749301418,0.85362461,0.7265088120000002,0.7281196371659721,0.7281196371659721,0.7281196371659721,0.42187253616733483,0.33409793707411456,0.42187253616733483,0.6966903972078067,0.7281196371659721,0.6981949077991834
42,dcnn,5500,128,50,glove,glove.6B.50d,0.813582938,0.7390994719999999,0.7635995259999999,0.751427206,0.849467855,0.726829438,0.7284138269183623,0.7284138269183623,0.7284138269183623,0.43662314446103395,0.3393107115309807,0.43662314446103395,0.6973180551505525,0.7284138269183623,0.6984749715697144
43,dcnn,6000,128,50,glove,glove.6B.50d,0.8127100500000001,0.739458191,0.767037895,0.7500468330000001,0.857388508,0.723092456,0.7244667810737926,0.7244667810737926,0.7244667810737927,0.4303043508784373,0.3314828815713865,0.4303043508784373,0.6911068688506804,0.7244667810737926,0.69256493367141
44,dcnn,6500,128,50,glove,glove.6B.50d,0.8120197429999999,0.739272594,0.7650004639999999,0.7496513149999999,0.853470579,0.725706403,0.7272860995341996,0.7272860995341996,0.7272860995341996,0.43270040570096685,0.3374857839041225,0.43270040570096685,0.6946458274741355,0.7272860995341996,0.6972834007772338
45,dcnn,7000,128,50,glove,glove.6B.50d,0.811935495,0.73944348,0.7624566589999999,0.750965428,0.8543426359999999,0.726767598,0.7284628585437608,0.7284628585437608,0.7284628585437608,0.4304399657247882,0.3305794762399121,0.4304399657247882,0.6956816280256952,0.7284628585437608,0.6990397331583127
46,dcnn,7500,128,50,glove,glove.6B.50d,0.812124466,0.739854896,0.763449625,0.7515311330000001,0.8572280639999998,0.7236474829999999,0.7250796763912724,0.7250796763912724,0.7250796763912724,0.41966827858249156,0.3342039077517704,0.41966827858249156,0.6913381660967767,0.7250796763912724,0.6944662013659892
47,dcnn,8000,128,50,glove,glove.6B.50d,0.811356327,0.7395906359999999,0.7644964050000002,0.7494596469999999,0.8532463880000002,0.726971037,0.7283893111056632,0.7283893111056632,0.7283893111056632,0.43742305275415416,0.3342799005560308,0.43742305275415416,0.6963588971132261,0.7283893111056632,0.6977731898992168
48,rcnn,500,128,50,glove,glove.6B.50d,1.0327850899999997,0.7167513660000001,1.001035603,0.7298503199999999,0.986833865,0.7024772269999999,0.703848982593773,0.703848982593773,0.703848982593773,0.3415426112750372,0.2598027696085562,0.3415426112750372,0.6715044476117763,0.703848982593773,0.6640048049836399
49,rcnn,1000,128,50,glove,glove.6B.50d,0.9952859699999997,0.721993729,0.9366483550000002,0.735616436,0.9654343240000001,0.710107434,0.7118166217210101,0.7118166217210101,0.7118166217210101,0.31553458725656414,0.2587881477349689,0.31553458725656414,0.6750481868090444,0.7118166217210101,0.6739873889362161
50,rcnn,1500,128,50,glove,glove.6B.50d,1.01765571,0.7238105719999999,0.974732024,0.7385824299999999,0.9622627119999999,0.714500352,0.7160333415052709,0.7160333415052709,0.7160333415052709,0.3503774073107524,0.27512024545113406,0.3503774073107524,0.6744355176881859,0.7160333415052709,0.6779825253750228
51,rcnn,2000,128,50,glove,glove.6B.50d,0.992426863,0.724663222,0.9438535299999998,0.738758246,0.967226949,0.7165315979999999,0.718239764648198,0.718239764648198,0.718239764648198,0.35286984280750133,0.26898072948723295,0.35286984280750133,0.6775148880519322,0.718239764648198,0.6812056034194689
52,rcnn,2500,128,50,glove,glove.6B.50d,0.9903562259999997,0.725936857,0.9485729300000001,0.738690102,0.9659678719999999,0.7170345250000001,0.7184113753370924,0.7184113753370924,0.7184113753370924,0.37641287639173093,0.26704242082669605,0.37641287639173093,0.6831666160110147,0.7184113753370924,0.6822055363964349
53,rcnn,3000,128,50,glove,glove.6B.50d,0.9962353939999999,0.725940755,0.9570491390000001,0.738085944,0.9597387919999999,0.715730815,0.7171855847021328,0.7171855847021328,0.7171855847021328,0.35389866043576645,0.2724072472347124,0.35389866043576645,0.6763728766484425,0.7171855847021328,0.6814033855212094
54,rcnn,3500,128,50,glove,glove.6B.50d,0.9859153270000001,0.726674497,0.9373717770000001,0.739667665,0.9623719679999999,0.717628603,0.7191468497180682,0.7191468497180682,0.7191468497180683,0.3598689504484337,0.2674097647232817,0.3598689504484337,0.6812736112484101,0.7191468497180682,0.6816504597974826
55,rcnn,4000,128,50,glove,glove.6B.50d,0.9855893809999999,0.7282497400000001,0.9351615310000001,0.7424818049999999,0.9707925699999997,0.714783551,0.7164010786957589,0.7164010786957589,0.7164010786957589,0.35345306592546566,0.2666880590785756,0.35345306592546566,0.6773793452397606,0.7164010786957589,0.6779406251935072
56,rcnn,4500,128,50,glove,glove.6B.50d,0.9818622190000001,0.727452642,0.9297128469999999,0.74100385,0.9638371749999999,0.715100929,0.7167197842608481,0.7167197842608481,0.7167197842608481,0.3586028492628885,0.27493243183743876,0.3586028492628885,0.676769987264809,0.7167197842608481,0.6792560268264609
