index,model_name,vocab_size,max_seq_length,to_lower,use_punct,embedding_dim,embedding_type,embedding_source,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
23,text cnn,10000,128,False,True,50,glove,glove.6B.50d,0.8207488000000002,73.720676,0.79070574,74.71154000000001,0.8850306,71.28209,0.7140755272192251,0.7140755272192251,0.7140755272192251,0.4452256355423528,0.3587915620302213,0.4452256355423528,0.6884609605105975,0.7140755272192251,0.6782240858106817
24,text cnn,10000,128,False,True,50,glove,glove.6B.50d,0.8247332,73.70299700000001,0.77979594,75.14353,0.84911907,72.27608599999999,0.7243746934771947,0.7243746934771947,0.7243746934771949,0.4108396917766753,0.3344344676833578,0.4108396917766753,0.6921780807610489,0.7243746934771947,0.7000240705520078
25,text cnn,10000,128,False,True,50,glove,glove.6B.50d,0.81687814,73.79679,0.7823264,74.88960999999999,0.8418908000000002,72.67369000000001,0.7280529671407553,0.7280529671407553,0.7280529671407553,0.46254177993968504,0.3422670686620281,0.46254177993968504,0.697368910597204,0.7280529671407553,0.7009140798087939
26,text cnn,10000,128,False,True,50,glove,glove.6B.50d,0.81985366,73.68409,0.79382104,74.71316999999999,0.8744860999999999,71.92383000000001,0.7202059833251594,0.7202059833251594,0.7202059833251594,0.4525968857409454,0.34629025054660256,0.4525968857409454,0.6896869709606408,0.7202059833251594,0.6859813601527541
27,text cnn,10000,128,False,True,50,glove,glove.6B.50d,0.8185762,73.714006,0.7869142,74.842,0.85488963,72.021484,0.7211868563021089,0.7211868563021089,0.7211868563021089,0.4191045414739034,0.31469301084773843,0.4191045414739034,0.6982850735275701,0.7211868563021089,0.6914929242389001
28,text cnn,10000,128,False,True,50,glove,glove.6B.50d,0.8226025,73.64833,0.7906234999999999,74.67513000000001,0.8603381,72.38071999999998,0.7251103482099068,0.7251103482099068,0.7251103482099069,0.5175805275538008,0.3349800863117192,0.5175805275538008,0.6984537375400263,0.7251103482099068,0.6966283574578309
29,text cnn,10000,128,False,True,50,glove,glove.6B.50d,0.8161868,73.811346,0.78720856,74.43778,0.8467568999999999,72.094727,0.721922511034821,0.721922511034821,0.721922511034821,0.4821799134396868,0.3386366253270904,0.4821799134396868,0.710585023665856,0.721922511034821,0.6939302873189531
30,text cnn,10000,128,True,True,50,glove,glove.6B.50d,0.81472135,73.96845,0.75617474,75.36431,0.8494389999999999,72.70508000000001,0.7280529671407553,0.7280529671407553,0.7280529671407553,0.4671915844385697,0.34049404619833235,0.4671915844385697,0.7019197668076274,0.7280529671407553,0.6969504809947189
31,text cnn,10000,128,True,True,50,glove,glove.6B.50d,0.8117361999999999,73.95775,0.7578219,75.302,0.8634681000000001,72.60045000000001,0.7273173124080432,0.7273173124080432,0.7273173124080432,0.3774591723885353,0.3223319487533244,0.3774591723885353,0.696305309291223,0.7273173124080432,0.6978223383984629
32,text cnn,10000,128,True,True,50,glove,glove.6B.50d,0.80888647,74.083096,0.75577396,74.839664,0.8358906999999999,73.39913,0.7356547327121138,0.7356547327121138,0.7356547327121138,0.4315964902595633,0.3163016797308081,0.4315964902595633,0.7011950865578657,0.7356547327121138,0.7073256797066558
