index,model_name,vocab_size,max_seq_length,embedding_dim,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,train_loss_std,train_acc_std,val_loss_std,val_acc_std,test_loss_std,test_acc_std,precision_micro_std,recall_micro_std,f1_micro_std,precision_macro_std,recall_macro_std,f1_macro_std,precision_weighted_std,recall_weighted_std,f1_weighted_std
10,cnn,3000,128,50,0.7768943260000001,75.6494007,0.870612114,74.45019500000001,0.9331477710000001,71.57177750000001,0.7172836479529296,0.7172836479529296,0.7172836479529298,0.4148960870555375,0.32447597550186213,0.4148960870555375,0.6851008677792335,0.7172836479529296,0.6877903089953356,0.0021117533116725836,0.05777874137518063,0.010125030324662648,0.1311927809218164,0.012152095997697461,0.6484491617578818,0.006460277162834262,0.006460277162834262,0.006460277162834279,0.04048218001561052,0.03286453326975652,0.04048218001561052,0.006001410211144583,0.006460277162834262,0.006663523678356677
11,cnn,2500,128,50,0.785025067,75.33902250000001,0.8636920029999999,74.4974638,0.9277289989999999,71.7874366,0.7191713655307674,0.7191713655307674,0.7191713655307674,0.4258049240084095,0.3274840627975705,0.4258049240084095,0.6852547875898838,0.7191713655307674,0.6872148752500103,0.0022235850154101217,0.048534411859011785,0.008282363744822892,0.23610191026136892,0.0160786556559707,0.5082509938603561,0.0050072709732472045,0.0050072709732472045,0.005007270973247227,0.03309821053288198,0.026850742250053322,0.03309821053288198,0.0063055279902057716,0.0050072709732472045,0.005458129265340137
12,cnn,2000,128,50,0.7934898589999999,75.0009036,0.8563896099999999,74.4813916,0.9325892330000001,71.55599149999999,0.7170139740132385,0.7170139740132385,0.7170139740132385,0.42676132728108973,0.3164686664168563,0.42676132728108973,0.6864561366016293,0.7170139740132385,0.6847280507433117,0.002488667238558906,0.08145079927879946,0.00783049944277007,0.23574628443788131,0.012441806930047494,0.4039074135022202,0.003995149872461412,0.003995149872461412,0.003995149872461397,0.024252836823310454,0.024364329612109693,0.024252836823310454,0.005795496922729654,0.003995149872461412,0.006818436664668083
13,cnn,1500,128,50,0.804188778,74.64520139999999,0.8430046649999999,74.37898320000001,0.920292574,71.65690220000002,0.7181662172101007,0.7181662172101007,0.7181662172101004,0.4150735117832591,0.3188348747368935,0.4150735117832591,0.6855008982821301,0.7181662172101007,0.685355735831085,0.0015173996916714011,0.046938268569115586,0.007304897698724316,0.24035283538341343,0.0121074269200026,0.3253115339201969,0.0032404591987477164,0.0032404591987477164,0.0032404591987477012,0.03400639225787259,0.019144116920027567,0.03400639225787259,0.005067901091246758,0.0032404591987477164,0.004733489022061806
14,cnn,1000,128,50,0.8212693050000001,74.0010399,0.836042984,74.109924,0.9322563189999998,71.2700208,0.7141701397401323,0.7141701397401323,0.7141701397401323,0.3927123904015094,0.3035478346973647,0.3927123904015094,0.6840663848852727,0.7141701397401323,0.6807651956774241,0.0021820056898502766,0.06320944336700718,0.008745394703690493,0.2840517786112592,0.02055896238840451,0.4491609215592503,0.004525586265572492,0.004525586265572492,0.004525586265572492,0.03338965552327683,0.017411704497291743,0.03338965552327683,0.00804178794019499,0.004525586265572492,0.006568557040790642
15,cnn,4000,128,50,0.766228221,76.0536473,0.8962512779999999,74.4004234,0.938523183,71.5874045,0.7173571953910273,0.7173571953910273,0.7173571953910273,0.41593718741051255,0.3121156172127558,0.41593718741051255,0.685258055675025,0.7173571953910273,0.6843154691375607,0.0018759758035543006,0.0680373454378788,0.00858090427285663,0.3035735183788809,0.015436723084794393,0.5551582891615015,0.005511606895547045,0.005511606895547045,0.005511606895547046,0.029288439998666854,0.021494633513938138,0.029288439998666854,0.011175554609674131,0.005511606895547045,0.007302964209479849
16,text cnn,1000,128,50,0.784748054,74.46286830000001,0.755545224,75.23184270000002,0.853090632,72.4287118,0.7258886982103457,0.7258886982103457,0.7258886982103457,0.42322331510706296,0.3296364706405079,0.42322331510706296,0.6964333820901052,0.7258886982103457,0.6975290123379624,0.0033630362358843557,0.06375379473856092,0.005937722187027252,0.2596891445307609,0.004924888776404119,0.35504131629393837,0.003515738118049309,0.003515738118049309,0.003515738118049309,0.027729378263070613,0.01360551887653094,0.027729378263070613,0.006564370264268627,0.003515738118049309,0.003962464972873282
17,text cnn,1500,128,50,0.778811268,74.67835439999999,0.7509527909999999,75.1682849,0.8481967340000001,72.55664290000001,0.727089973032606,0.727089973032606,0.727089973032606,0.4520172237364414,0.35223240292745783,0.4520172237364414,0.6968396261231928,0.727089973032606,0.6988412910931363,0.0032924309289635374,0.07339234720202024,0.0048481748896820245,0.11578297768425919,0.006752907291318125,0.5517450588572854,0.005443761833355229,0.005443761833355229,0.005443761833355219,0.03806408185835616,0.016778851010682074,0.03806408185835616,0.005683621694954257,0.005443761833355229,0.006154538907927571
18,text cnn,2000,128,50,0.7765621589999999,74.76466549999999,0.751781036,75.43757790000001,0.845794161,72.6556001,0.7279725422897769,0.7279725422897769,0.7279725422897769,0.4567341133425872,0.35003212580883264,0.4567341133425872,0.698847214536382,0.7279725422897769,0.6987883265512693,0.0038281126505439454,0.10963785922172899,0.006029757157142855,0.26233193617393885,0.007723966953772176,0.30555177922805676,0.003167508780354781,0.003167508780354781,0.003167508780354771,0.02176093864021069,0.01821490292625107,0.02176093864021069,0.003738652403211149,0.003167508780354781,0.004425306261892523
19,text cnn,2500,128,50,0.775746532,74.85511679999999,0.751519943,75.2914495,0.8437145529999999,72.8533543,0.7299583231184112,0.7299583231184112,0.7299583231184114,0.44400399004505103,0.34884701221466796,0.44400399004505103,0.7011230719221201,0.7299583231184112,0.7023817573314115,0.0026993308073866747,0.08326426858676464,0.004088025098042253,0.2294956295586054,0.006406624736484434,0.36229593157222284,0.003651402404633356,0.003651402404633356,0.0036514024046333726,0.031362429219192946,0.016269850306561688,0.031362429219192946,0.008444490169885391,0.003651402404633356,0.0040224469106530285
20,text cnn,3000,128,50,0.776006394,74.84852839999999,0.751972554,75.3442866,0.8530181599999999,72.667157,0.7281441529786712,0.7281441529786712,0.7281441529786712,0.4532888647584673,0.34548264500812953,0.4532888647584673,0.6984343643510569,0.7281441529786712,0.6996795458094349,0.003423444742932979,0.06795441168116685,0.00703811048850187,0.2515833321524585,0.01010407752456844,0.3279772758689885,0.003372248830318771,0.003372248830318771,0.0033722488303187716,0.042407328003271495,0.0220145992774657,0.042407328003271495,0.006217638329534058,0.003372248830318771,0.004222135696262354
21,text cnn,3500,128,50,0.7719891990000001,74.95174730000001,0.752384195,75.2988552,0.8519569899999999,72.38216279999999,0.7252267712674676,0.7252267712674676,0.7252267712674676,0.43828606540304094,0.3433740652945852,0.43828606540304094,0.6951615867822405,0.7252267712674676,0.6978863919360476,0.0037644179930574387,0.08444443866966102,0.005315773518384797,0.3002249764100267,0.012970849776257686,0.22122831886276573,0.002240363175772174,0.002240363175772174,0.0022403631757721715,0.03313315914646142,0.01643254709872041,0.03313315914646142,0.003630367322516453,0.002240363175772174,0.004313618938309917
