'experiment_name','model_name','vocab_size','max_seq_length','embedding_dim','embedding_type','embedding_source','train_loss','train_acc','val_loss','val_acc','test_loss','test_acc','precision_micro','recall_micro','f1_micro','precision_macro','recall_macro','f1_macro','precision_weighted','recall_weighted','f1_weighted'
dcnn_5kvocab_8,dcnn,5000,128,50,glove,glove.6B.50d,0.80576175,0.74094427,0.76684767,0.7486853,0.84848565,0.7257162,0.7276293209119883,0.7276293209119883,0.7276293209119882,0.40580886112373293,0.3312113482476188,0.40580886112373293,0.6889473374340752,0.7276293209119883,0.6989788870471634
dcnn_5kvocab_9,dcnn,5000,128,50,glove,glove.6B.50d,0.81200516,0.7394843,0.76290476,0.7503999,0.85020846,0.73115236,0.7325324834518264,0.7325324834518264,0.7325324834518264,0.4593239156396874,0.3362306851715204,0.4593239156396874,0.6987450163270775,0.7325324834518264,0.7026431588177616
dcnn_5kvocab_10,dcnn,5000,128,50,glove,glove.6B.50d,0.810407,0.73968834,0.7585377,0.751349,0.85665286,0.7291667,0.730816376562883,0.730816376562883,0.730816376562883,0.41305724338167804,0.34760529160360115,0.41305724338167804,0.7000047201304156,0.730816376562883,0.7029260494359424
lstm_5kvocab_1,lstm,5000,128,50,glove,glove.6B.50d,0.8433058,0.7489598,0.86290777,0.75133806,0.94946307,0.7086914,0.7099779357685707,0.7099779357685707,0.7099779357685707,0.4012918453328423,0.2987361571764307,0.4012918453328423,0.6876445706706213,0.7099779357685707,0.6718089280929094
lstm_5kvocab_2,lstm,5000,128,50,glove,glove.6B.50d,0.86248744,0.7470542,0.871095,0.74953324,0.94890225,0.7286784,0.7303260603088992,0.7303260603088992,0.7303260603088992,0.40978566687868107,0.3222555936699574,0.40978566687868107,0.6962960174502242,0.7303260603088992,0.7007840158760679
lstm_5kvocab_3,lstm,5000,128,50,glove,glove.6B.50d,0.8533778,0.7462925,0.8703977,0.74827605,0.9665246,0.7267253,0.7283647952929639,0.7283647952929639,0.7283647952929639,0.3437965606625867,0.2960810052804292,0.3437965606625867,0.6905921598755989,0.7283647952929639,0.6961346104332685
lstm_5kvocab_4,lstm,5000,128,50,glove,glove.6B.50d,0.84423685,0.74804556,0.846246,0.75316,0.9130981,0.7272461,0.7286099534199558,0.7286099534199558,0.7286099534199558,0.38964411567203633,0.2925644423961091,0.38964411567203633,0.6925766846770793,0.7286099534199558,0.6953702337744602
lstm_5kvocab_5,lstm,5000,128,50,glove,glove.6B.50d,0.850666,0.7483805,0.8748056,0.7501867,0.9279422,0.73136395,0.7330227997058103,0.7330227997058103,0.7330227997058104,0.4053854051290355,0.3153540899420515,0.4053854051290355,0.6916045679616615,0.7330227997058103,0.7005931817806683
lstm_5kvocab_6,lstm,5000,128,50,glove,glove.6B.50d,0.8451272,0.7473575,0.8581498,0.7488222,0.91450226,0.72993165,0.7313066928168669,0.7313066928168669,0.7313066928168669,0.40256094343149745,0.30628280857805956,0.40256094343149745,0.6915412081419723,0.7313066928168669,0.7015440056214454
lstm_5kvocab_7,lstm,5000,128,50,glove,glove.6B.50d,0.8389304,0.7489341,0.8493533,0.75448716,0.9299989,0.7265137,0.7278744790389802,0.7278744790389802,0.7278744790389802,0.3719769615318535,0.3094427865723928,0.3719769615318535,0.6931318503278674,0.7278744790389802,0.6982240364097059
lstm_5kvocab_8,lstm,5000,128,50,glove,glove.6B.50d,0.8534648,0.74572206,0.8489032,0.7552838,0.9433115,0.7328288,0.7344937484677617,0.7344937484677617,0.7344937484677617,0.40294699890874736,0.2768835508934881,0.40294699890874736,0.6972136347842681,0.7344937484677617,0.702654093729018
