experiment_name,model_name,vocab_size,max_seq_length,use_punct,embedding_dim,embedding_type,embedding_source,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
lstm_punct_3,lstm,10000,128,TRUE,50,glove,glove.6B.50d,0.8362615,0.7509455,0.85992265,0.75242096,0.928878,0.7269694,0.728609953,0.728609953,0.728609953,0.396295062,0.323795968,0.396295062,0.6914795,0.728609953,0.69404565
lstm_punct_4,lstm,10000,128,TRUE,50,glove,glove.6B.50d,0.8812185,0.7499258,0.91459197,0.7511949,0.92003304,0.73359376,0.734984065,0.734984065,0.734984065,0.404089612,0.308573848,0.404089612,0.698274641,0.734984065,0.70444097
lstm_punct_5,lstm,10000,128,TRUE,50,glove,glove.6B.50d,0.8344435,0.7509872,0.85798275,0.7541029,0.928882,0.7167155,0.718313312,0.718313312,0.718313312,0.354507898,0.319131514,0.354507898,0.685389642,0.718313312,0.684902412
lstm_punct_6,lstm,10000,128,TRUE,50,glove,glove.6B.50d,0.8257047,0.7531587,0.8622101,0.75230116,0.9360685,0.7303874,0.732042167,0.732042167,0.732042167,0.360770085,0.284735149,0.360770085,0.691618662,0.732042167,0.699349469
lstm_punct_7,lstm,10000,128,TRUE,50,glove,glove.6B.50d,0.8376786,0.75103104,0.8485214,0.7555934,0.9474376,0.7230632,0.724687423,0.724687423,0.724687423,0.39712704,0.309101396,0.39712704,0.687527027,0.724687423,0.690228266
lstm_punct_8,lstm,10000,128,TRUE,50,glove,glove.6B.50d,0.83718145,0.7517312,0.8745195,0.7489342,0.94219476,0.7213542,0.722971316,0.722971316,0.722971316,0.350406149,0.288855107,0.350406149,0.681387086,0.722971316,0.689577537
lstm_punct_9,lstm,10000,128,TRUE,50,glove,glove.6B.50d,0.85040414,0.7500113,0.87750304,0.75274616,0.96066767,0.7230632,0.724687423,0.724687423,0.724687423,0.355333734,0.290825364,0.355333734,0.686819956,0.724687423,0.691251864
lstm_punct_10,lstm,10000,128,TRUE,50,glove,glove.6B.50d,0.8478534,0.7485249,0.8718742,0.75187796,0.95846313,0.7214193,0.722481,0.722481,0.722481,0.362803208,0.30290506,0.362803208,0.68586655,0.722481,0.692781462
bi_lstm_punct_1,bi_lstm,10000,128,TRUE,50,glove,glove.6B.50d,0.8725048,0.7444508,0.8762072,0.7482885,0.9607165,0.7257162,0.727629321,0.727629321,0.727629321,0.347079239,0.296252488,0.347079239,0.685642489,0.727629321,0.696292659
bi_lstm_punct_2,bi_lstm,10000,128,TRUE,50,glove,glove.6B.50d,0.870814,0.74580944,0.8638235,0.7512945,0.95875794,0.7269694,0.728609953,0.728609953,0.728609953,0.386026978,0.311082153,0.386026978,0.689384295,0.728609953,0.695005998
bi_lstm_punct_3,bi_lstm,10000,128,TRUE,50,glove,glove.6B.50d,0.863057,0.74639124,0.86265445,0.75140655,0.9812018,0.71940106,0.721010051,0.721010051,0.721010051,0.368610964,0.278198093,0.368610964,0.682513618,0.721010051,0.688511403
bi_lstm_punct_4,bi_lstm,10000,128,TRUE,50,glove,glove.6B.50d,0.87524325,0.74317557,0.88934964,0.7457462,0.9786724,0.71967775,0.721010051,0.721010051,0.721010051,0.337168853,0.306150517,0.337168853,0.680349675,0.721010051,0.686366383
bi_lstm_punct_5,bi_lstm,10000,128,TRUE,50,glove,glove.6B.50d,0.87793684,0.74425846,0.8890883,0.74880666,0.98629534,0.7218099,0.723706791,0.723706791,0.723706791,0.357035408,0.283939496,0.357035408,0.688277055,0.723706791,0.69252919
bi_lstm_punct_6,bi_lstm,10000,128,TRUE,50,glove,glove.6B.50d,0.8410431,0.7507521,0.8906592,0.7498429,0.9519913,0.725293,0.726648688,0.726648688,0.726648688,0.392942419,0.322065616,0.392942419,0.696889093,0.726648688,0.696979794
bi_lstm_punct_7,bi_lstm,10000,128,TRUE,50,glove,glove.6B.50d,0.88089263,0.74529654,0.8894152,0.74981797,0.9422788,0.7335612,0.735229223,0.735229223,0.735229223,0.373686446,0.317629573,0.373686446,0.698551882,0.735229223,0.704427478
bi_lstm_punct_8,bi_lstm,10000,128,TRUE,50,glove,glove.6B.50d,0.86102605,0.74608505,0.88776886,0.7445435,0.9419789,0.70485026,0.705565089,0.705565089,0.705565089,0.379673344,0.309762961,0.379673344,0.699577274,0.705565089,0.666483215
bi_lstm_punct_9,bi_lstm,10000,128,TRUE,50,glove,glove.6B.50d,0.85748273,0.747,0.8848257,0.7493263,0.92125195,0.72477216,0.72640353,0.72640353,0.72640353,0.353574727,0.270554123,0.353574727,0.687428623,0.72640353,0.691607216
bi_lstm_punct_10,bi_lstm,10000,128,TRUE,50,glove,glove.6B.50d,0.871388,0.7443389,0.8602533,0.7488689,0.9346534,0.72626954,0.727629321,0.727629321,0.727629321,0.330747344,0.275423844,0.330747344,0.679231124,0.727629321,0.695385504
gru_punct_1,gru,10000,128,TRUE,50,glove,glove.6B.50d,1.0074619,0.72312075,0.97962594,0.7343011,0.94688165,0.69718426,0.698700662,0.698700662,0.698700662,0.368228034,0.274185394,0.368228034,0.669956064,0.698700662,0.654877485
gru_punct_2,gru,10000,128,TRUE,50,glove,glove.6B.50d,1.0056877,0.7236059,0.9589663,0.7383262,0.9437165,0.7203776,0.721990684,0.721990684,0.721990684,0.408998616,0.295258521,0.408998616,0.684683404,0.721990684,0.688166335
gru_punct_3,gru,10000,128,TRUE,50,glove,glove.6B.50d,1.0204743,0.7212198,0.97319245,0.7327841,0.95628715,0.727946,0.729590586,0.729590586,0.729590586,0.36547789,0.272384479,0.36547789,0.68667154,0.729590586,0.696491769
gru_punct_4,gru,10000,128,TRUE,50,glove,glove.6B.50d,0.9950463,0.7244759,0.93193907,0.7383495,0.9325465,0.7233724,0.724442265,0.724442265,0.724442265,0.406704604,0.294345735,0.406704604,0.690293821,0.724442265,0.690078251
gru_punct_5,gru,10000,128,TRUE,50,glove,glove.6B.50d,0.9972712,0.72415555,0.9543135,0.73569983,0.9671904,0.7069499,0.708506987,0.708506987,0.708506987,0.339402028,0.274061812,0.339402028,0.66715755,0.708506987,0.666823928
gru_punct_6,gru,10000,128,TRUE,50,glove,glove.6B.50d,1.0042684,0.72418046,0.97035784,0.7380321,0.952271,0.7154948,0.717087521,0.717087521,0.717087521,0.375141939,0.263723797,0.375141939,0.679560721,0.717087521,0.678895447
gru_punct_7,gru,10000,128,TRUE,50,glove,glove.6B.50d,0.98517483,0.72675306,0.94160384,0.7403519,0.9577894,0.7176921,0.719293945,0.719293945,0.719293945,0.401456104,0.276425159,0.401456104,0.690286027,0.719293945,0.685582473
gru_punct_8,gru,10000,128,TRUE,50,glove,glove.6B.50d,0.99341905,0.7231183,0.9481515,0.7350168,0.96478206,0.7137858,0.715371415,0.715371415,0.715371415,0.354840379,0.241123658,0.354840379,0.671908134,0.715371415,0.677646685
gru_punct_9,gru,10000,128,TRUE,50,glove,glove.6B.50d,0.99969816,0.7227355,0.9638051,0.7373491,0.9529901,0.70670575,0.708261829,0.708261829,0.708261829,0.384878023,0.293049104,0.384878023,0.682320469,0.708261829,0.672053259
gru_punct_10,gru,10000,128,TRUE,50,glove,glove.6B.50d,1.0067255,0.7228475,0.9570148,0.73953044,0.93561447,0.71409506,0.715126256,0.715126256,0.715126256,0.348965874,0.277638042,0.348965874,0.670272674,0.715126256,0.67782842
bi_gru_punct_1,bi_gru,10000,128,TRUE,50,glove,glove.6B.50d,1.0442715,0.7151901,0.9801512,0.7250327,0.94615304,0.71695966,0.71855847,0.71855847,0.71855847,0.367285273,0.278909777,0.367285273,0.679969299,0.71855847,0.679963208
bi_gru_punct_2,bi_gru,10000,128,TRUE,50,glove,glove.6B.50d,1.0626217,0.7148023,1.0050122,0.7236013,0.95219564,0.7137858,0.715371415,0.715371415,0.715371415,0.37456963,0.281860655,0.37456963,0.67878764,0.715371415,0.676285228
bi_gru_punct_3,bi_gru,10000,128,TRUE,50,glove,glove.6B.50d,1.0450671,0.71776164,0.98164314,0.73489076,0.9455015,0.71818036,0.719784261,0.719784261,0.719784261,0.358365543,0.285183709,0.358365543,0.679242192,0.719784261,0.684518545
bi_gru_punct_4,bi_gru,10000,128,TRUE,50,glove,glove.6B.50d,1.0407963,0.71967304,0.97604954,0.7379434,0.9312661,0.7191244,0.721010051,0.721010051,0.721010051,0.405871012,0.288383867,0.405871012,0.682500776,0.721010051,0.68434376
bi_gru_punct_5,bi_gru,10000,128,TRUE,50,glove,glove.6B.50d,1.0339618,0.717773,0.98307616,0.73038495,0.9431372,0.7123535,0.713655308,0.713655308,0.713655308,0.333227014,0.275629947,0.333227014,0.667429862,0.713655308,0.678082152
bi_gru_punct_6,bi_gru,10000,128,TRUE,50,glove,glove.6B.50d,1.0598042,0.7169961,1.008492,0.7293923,0.9697865,0.7189128,0.720519735,0.720519735,0.720519735,0.387457503,0.264495422,0.387457503,0.687518928,0.720519735,0.684775185
bi_gru_punct_7,bi_gru,10000,128,TRUE,50,glove,glove.6B.50d,1.0672464,0.7131005,1.0080181,0.72716427,0.9561758,0.72205406,0.723951949,0.723951949,0.723951949,0.39193143,0.277587756,0.39193143,0.679726489,0.723951949,0.688772177
bi_gru_punct_8,bi_gru,10000,128,TRUE,50,glove,glove.6B.50d,1.0575705,0.714029,1.0060248,0.7249782,0.93848306,0.716683,0.71855847,0.71855847,0.71855847,0.376662359,0.269809054,0.376662359,0.67634705,0.71855847,0.686256022
bi_gru_punct_9,bi_gru,10000,128,TRUE,50,glove,glove.6B.50d,1.0551308,0.7137465,0.9828514,0.7314756,0.95696664,0.71259767,0.713900466,0.713900466,0.713900466,0.391041907,0.291715305,0.391041907,0.672434028,0.713900466,0.675759783
bi_gru_punct_10,bi_gru,10000,128,TRUE,50,glove,glove.6B.50d,1.0634373,0.713248,1.0060486,0.7270522,0.953123,0.70426434,0.705810248,0.705810248,0.705810248,0.350598419,0.291703609,0.350598419,0.679754944,0.705810248,0.664498068
cnn_no_punct_1,cnn,10000,128,FALSE,50,glove,glove.6B.50d,0.8111885,0.7504576,0.9389956,0.7337861,0.954021,0.7103353,0.712184359,0.712184359,0.712184359,0.436799532,0.318804035,0.436799532,0.681712111,0.712184359,0.678464511
