'experiment_name','model_name','vocab_size','max_seq_length','embedding_dim','embedding_type','embedding_source','train_loss','train_acc','val_loss','val_acc','test_loss','test_acc''precision_micro','recall_micro','f1_micro','precision_macro','recall_macro','f1_macro','precision_weighted','recall_weighted','f1_weighted',
bi_lstm_5kvocab_2,bi_lstm,5000,128,50,glove,glove.6B.50d,0.8864564,0.73678356,0.84515935,0.7466743,0.9303415,0.71744794,0.7190487864672714,0.7190487864672714,0.7190487864672713,0.3933455910106485,0.3074016567196388,0.3933455910106485,0.6902554377164029,0.7190487864672714,0.6845753647444721
bi_lstm_5kvocab_3,bi_lstm,5000,128,50,glove,glove.6B.50d,0.8756367,0.73896617,0.83727044,0.75073904,0.93325937,0.725293,0.7266486884040206,0.7266486884040206,0.7266486884040205,0.37741276901139315,0.31984593980065495,0.37741276901139315,0.6857641180989824,0.7266486884040206,0.6953417098959812
bi_lstm_5kvocab_4,bi_lstm,5000,128,50,glove,glove.6B.50d,0.8792497,0.73737055,0.8533788,0.7468623,0.95798993,0.72871095,0.7300809021819074,0.7300809021819074,0.7300809021819074,0.42923907913488846,0.32828544890828737,0.42923907913488846,0.714495225939073,0.7300809021819074,0.7004583852880876
bi_lstm_5kvocab_5,bi_lstm,5000,128,50,glove,glove.6B.50d,0.87220913,0.7401555,0.83694893,0.75021005,0.95961756,0.72184247,0.7234616327531258,0.7234616327531258,0.7234616327531258,0.3997029735675508,0.2990869350387022,0.3997029735675508,0.6919175873446187,0.7234616327531258,0.6862748326921223
bi_lstm_5kvocab_6,bi_lstm,5000,128,50,glove,glove.6B.50d,0.8795788,0.73900163,0.84978515,0.7514597,0.9453363,0.7275228,0.7286099534199558,0.7286099534199558,0.7286099534199558,0.3668165415736897,0.3151998704509139,0.3668165415736897,0.6829194769878886,0.7286099534199558,0.6964400532777325
bi_lstm_5kvocab_7,bi_lstm,5000,128,50,glove,glove.6B.50d,0.8646308,0.7420015,0.8388262,0.75074214,0.9733665,0.72669274,0.7286099534199558,0.7286099534199558,0.7286099534199558,0.38080817057163874,0.29999313533809907,0.38080817057163874,0.6858338436207426,0.7286099534199558,0.6953154382618003
bi_lstm_5kvocab_8,bi_lstm,5000,128,50,glove,glove.6B.50d,0.8820312,0.73909575,0.8489192,0.751349,0.96808845,0.7325521,0.7344937484677617,0.7344937484677617,0.7344937484677617,0.4118020726110684,0.317362851373382,0.4118020726110684,0.6958116195996573,0.7344937484677617,0.7029725394149162
bi_lstm_5kvocab_9,bi_lstm,5000,128,50,glove,glove.6B.50d,0.880746,0.7398969,0.8524723,0.74580544,0.9754911,0.7208659,0.7224810002451582,0.7224810002451582,0.7224810002451582,0.3725739042990936,0.30214315902875793,0.3725739042990936,0.683406956423512,0.7224810002451582,0.6893907375007456
bi_lstm_5kvocab_10,bi_lstm,5000,128,50,glove,glove.6B.50d,0.8859794,0.73672813,0.8406544,0.7526116,0.95832783,0.7257487,0.7273841627849963,0.7273841627849963,0.7273841627849962,0.3355361685916531,0.28413895064924694,0.3355361685916531,0.682389148569074,0.7273841627849963,0.6958967603176037

