'experiment_name','model_name','vocab_size','max_seq_length','embedding_dim','embedding_type','embedding_source','train_loss','train_acc','val_loss','val_acc','test_loss','test_acc','precision_micro','recall_micro','f1_micro','precision_macro','recall_macro','f1_macro','precision_weighted','recall_weighted','f1_weighted'
text_cnn_10seqlength_1,text_cnn,10000,10,50,glove,glove.6B.50d,0.7968299,0.74120957,0.78429955,0.7427402,0.87107617,0.70576173,0.7070360382446678,0.7070360382446678,0.7070360382446678,0.43654298017232224,0.33811193562543346,0.43654298017232224,0.6707538977929576,0.7070360382446678,0.6789117393512898
text_cnn_10seqlength_2,text_cnn,10000,10,50,glove,glove.6B.50d,0.792374,0.74224585,0.79437524,0.74073935,0.8889242,0.707015,0.7080166707526354,0.7080166707526354,0.7080166707526354,0.4417310688348516,0.3669833164871231,0.4417310688348516,0.6774668872988925,0.7080166707526354,0.683561538040446
text_cnn_10seqlength_3,text_cnn,10000,10,50,glove,glove.6B.50d,0.79896486,0.7409536,0.7824911,0.7439118,0.87581027,0.7172689,0.7183133120862957,0.7183133120862957,0.7183133120862957,0.43426730307406347,0.3426494533829745,0.43426730307406347,0.6885353509441396,0.7183133120862957,0.6922140402138696
text_cnn_10seqlength_4,text_cnn,10000,10,50,glove,glove.6B.50d,0.79901516,0.74019355,0.7837847,0.7437376,0.8769581,0.7187012,0.720029418975239,0.720029418975239,0.720029418975239,0.45088690689995087,0.34403368739179074,0.45088690689995087,0.6857516539338336,0.720029418975239,0.6912656418361192
text_cnn_10seqlength_5,text_cnn,10000,10,50,glove,glove.6B.50d,0.7988403,0.74040717,0.78489256,0.7429067,0.87198997,0.71479493,0.7161068889433685,0.7161068889433685,0.7161068889433685,0.5144001713291942,0.3693177039988751,0.5144001713291942,0.6875940966180055,0.7161068889433685,0.6874312577550454
text_cnn_10seqlength_6,text_cnn,10000,10,50,glove,glove.6B.50d,0.8024867,0.7403462,0.7896053,0.7425691,0.8662169,0.7172689,0.7183133120862957,0.7183133120862957,0.7183133120862957,0.45007793270402985,0.3214574238620328,0.45007793270402985,0.6886121163302189,0.7183133120862957,0.6894126801461155
text_cnn_10seqlength_7,text_cnn,10000,10,50,glove,glove.6B.50d,0.7939184,0.7421193,0.7804899,0.74262977,0.8687295,0.71796876,0.7192939445942633,0.7192939445942633,0.7192939445942634,0.4844670666169102,0.3490537918581572,0.4844670666169102,0.7026769957174968,0.7192939445942633,0.6929322821656457
text_cnn_10seqlength_8,text_cnn,10000,10,50,glove,glove.6B.50d,0.8046867,0.7395858,0.78418535,0.7437484,0.87495726,0.71458334,0.7156165726893846,0.7156165726893846,0.7156165726893846,0.42006196024674197,0.33865189515793515,0.42006196024674197,0.6845973611898506,0.7156165726893846,0.6871075252158241
text_cnn_10seqlength_9,text_cnn,10000,10,50,glove,glove.6B.50d,0.7951063,0.7413892,0.7929731,0.7423995,0.89478743,0.7061849,0.7080166707526354,0.7080166707526354,0.7080166707526354,0.4308926578920301,0.3285844325891442,0.4308926578920301,0.6744881692551327,0.7080166707526354,0.6777793474354834
text_cnn_10seqlength_10,text_cnn,10000,10,50,glove,glove.6B.50d,0.80415154,0.7387781,0.78425884,0.74176157,0.8701689,0.71137697,0.7126746751654818,0.7126746751654818,0.7126746751654818,0.45897977431540443,0.3450773788536816,0.45897977431540443,0.6810084407302068,0.7126746751654818,0.6823659438175067
dcnn_10seqlength_1,dcnn,10000,10,50,glove,glove.6B.50d,0.846524,0.72885877,0.80559874,0.7401512,0.8608743,0.720931,0.7219906839911743,0.7219906839911743,0.7219906839911743,0.4410291126126384,0.3457411702781756,0.4410291126126384,0.694264855780472,0.7219906839911743,0.6952582620288663
dcnn_10seqlength_2,dcnn,10000,10,50,glove,glove.6B.50d,0.8419076,0.7300619,0.79724294,0.7371919,0.8778761,0.7179362,0.7195391027212552,0.7195391027212552,0.7195391027212552,0.39658868353276955,0.31941978635058416,0.39658868353276955,0.6793130910786213,0.7195391027212552,0.6860427786388605
dcnn_10seqlength_3,dcnn,10000,10,50,glove,glove.6B.50d,0.843768,0.7299969,0.8062603,0.73638445,0.89714205,0.7074707,0.7087521451336112,0.7087521451336112,0.7087521451336112,0.429314942170991,0.3276276629284828,0.429314942170991,0.6776820584736757,0.7087521451336112,0.672728292438553
dcnn_10seqlength_4,dcnn,10000,10,50,glove,glove.6B.50d,0.8510774,0.72790337,0.80283135,0.74054796,0.8765325,0.70820314,0.7094876195145869,0.7094876195145869,0.7094876195145869,0.40212432575043383,0.32640914742254085,0.40212432575043383,0.6720307015610535,0.7094876195145869,0.6745329771048173
dcnn_10seqlength_5,dcnn,10000,10,50,glove,glove.6B.50d,0.845684,0.729567,0.8018698,0.73818773,0.8709622,0.7174805,0.7188036283402794,0.7188036283402794,0.7188036283402796,0.44251628678212795,0.34507332816455916,0.44251628678212795,0.6876547502084854,0.7188036283402794,0.6920540166225767
dcnn_10seqlength_6,dcnn,10000,10,50,glove,glove.6B.50d,0.84678024,0.7294202,0.8030018,0.7411828,0.8998516,0.69938153,0.7009070850698701,0.7009070850698701,0.7009070850698701,0.40470322112829765,0.31571747728064886,0.40470322112829765,0.678445196051845,0.7009070850698701,0.6674088550581707
dcnn_10seqlength_7,dcnn,10000,10,50,glove,glove.6B.50d,0.8474369,0.72889745,0.8048359,0.738947,0.89815253,0.70182294,0.7033586663397892,0.7033586663397892,0.7033586663397892,0.39055632193716533,0.34779605947209374,0.39055632193716533,0.6717554060638559,0.7033586663397892,0.6683065948234153
