index,model_name,model_A,model_B,P({a} > {b}),P({a} == {b}),P({b} > {a}),left,within,right
443,rcnn,700,1600,0.06432,0.93568,0.0,0.06432,0.93568,0.0
444,rcnn,800,900,0.00598,0.99396,6e-05,0.00598,0.99396,6e-05
445,rcnn,800,1000,0.00488,0.99512,0.0,0.00488,0.99512,0.0
446,rcnn,800,1100,0.0,1.0,0.0,0.0,1.0,0.0
447,rcnn,800,1200,0.0,1.0,0.0,0.0,1.0,0.0
448,rcnn,800,1300,0.0021,0.9979,0.0,0.0021,0.9979,0.0
449,rcnn,800,1400,0.00012,0.99944,0.00044,0.00012,0.99944,0.00044
450,rcnn,800,1500,0.0076,0.9924,0.0,0.0076,0.9924,0.0
451,rcnn,800,1600,0.05182,0.94818,0.0,0.05182,0.94818,0.0
452,rcnn,900,1000,0.0006,0.99896,0.00044,0.0006,0.99896,0.00044
453,rcnn,900,1100,0.0,0.91604,0.08396,0.0,0.91604,0.08396
454,rcnn,900,1200,0.0002,0.9963,0.0035,0.0002,0.9963,0.0035
455,rcnn,900,1300,0.00028,0.99662,0.0031,0.00028,0.99662,0.0031
456,rcnn,900,1400,0.00024,0.99898,0.00078,0.00024,0.99898,0.00078
457,rcnn,900,1500,0.00342,0.99434,0.00224,0.00342,0.99434,0.00224
458,rcnn,900,1600,0.02706,0.97194,0.001,0.02706,0.97194,0.001
459,rcnn,1000,1100,0.0,0.96582,0.03418,0.0,0.96582,0.03418
460,rcnn,1000,1200,0.00018,0.97224,0.02758,0.00018,0.97224,0.02758
461,rcnn,1000,1300,0.00052,0.999,0.00048,0.00052,0.999,0.00048
462,rcnn,1000,1400,0.00192,0.96188,0.0362,0.00192,0.96188,0.0362
463,rcnn,1000,1500,0.00124,0.9971,0.00166,0.00124,0.9971,0.00166
464,rcnn,1000,1600,0.0092,0.99078,2e-05,0.0092,0.99078,2e-05
465,rcnn,1100,1200,0.00018,0.99982,0.0,0.00018,0.99982,0.0
466,rcnn,1100,1300,0.0014,0.9986,0.0,0.0014,0.9986,0.0
467,rcnn,1100,1400,0.0061,0.9939,0.0,0.0061,0.9939,0.0
468,rcnn,1100,1500,0.00584,0.99416,0.0,0.00584,0.99416,0.0
