index,model_name,model_A,model_B,P({a} > {b}),P({a} == {b}),P({b} > {a}),left,within,right
169,rcnn,25,50,8e-05,0.99988,4e-05,8e-05,0.99988,4e-05
170,rcnn,30,35,0.0,1.0,0.0,0.0,1.0,0.0
171,rcnn,30,40,0.0,1.0,0.0,0.0,1.0,0.0
172,rcnn,30,45,0.0,1.0,0.0,0.0,1.0,0.0
173,rcnn,30,50,0.0,0.99706,0.00294,0.0,0.99706,0.00294
174,rcnn,35,40,0.0,1.0,0.0,0.0,1.0,0.0
175,rcnn,35,45,0.00026,0.99974,0.0,0.00026,0.99974,0.0
176,rcnn,35,50,0.0,0.99988,0.00012,0.0,0.99988,0.00012
177,rcnn,40,45,0.0002,0.99956,0.00024,0.0002,0.99956,0.00024
178,rcnn,40,50,2e-05,0.99638,0.0036,2e-05,0.99638,0.0036
179,rcnn,45,50,0.0,0.997,0.003,0.0,0.997,0.003
180,lstm,5,10,0.0002,0.99564,0.00416,0.0002,0.99564,0.00416
181,lstm,5,15,0.02406,0.97594,0.0,0.02406,0.97594,0.0
182,lstm,5,20,0.00104,0.99876,0.0002,0.00104,0.99876,0.0002
183,lstm,5,25,0.03578,0.96422,0.0,0.03578,0.96422,0.0
184,lstm,5,30,0.08816,0.91184,0.0,0.08816,0.91184,0.0
185,lstm,5,35,0.08682,0.91318,0.0,0.08682,0.91318,0.0
186,lstm,5,40,0.65398,0.34602,0.0,0.65398,0.34602,0.0
187,lstm,5,45,0.95484,0.04516,0.0,0.95484,0.04516,0.0
188,lstm,5,50,0.92508,0.07492,0.0,0.92508,0.07492,0.0
189,lstm,10,15,2e-05,0.99998,0.0,2e-05,0.99998,0.0
190,lstm,10,20,0.0,1.0,0.0,0.0,1.0,0.0
191,lstm,10,25,0.0332,0.96678,2e-05,0.0332,0.96678,2e-05
192,lstm,10,30,0.36006,0.63994,0.0,0.36006,0.63994,0.0
193,lstm,10,35,0.436,0.564,0.0,0.436,0.564,0.0
194,lstm,10,40,0.93848,0.06152,0.0,0.93848,0.06152,0.0
195,lstm,10,45,0.99806,0.00194,0.0,0.99806,0.00194,0.0
196,lstm,10,50,0.9981,0.0019,0.0,0.9981,0.0019,0.0
197,lstm,15,20,0.0,1.0,0.0,0.0,1.0,0.0
198,lstm,15,25,0.0,1.0,0.0,0.0,1.0,0.0
199,lstm,15,30,0.00502,0.99498,0.0,0.00502,0.99498,0.0
200,lstm,15,35,0.01858,0.98142,0.0,0.01858,0.98142,0.0
201,lstm,15,40,0.6793,0.3207,0.0,0.6793,0.3207,0.0
202,lstm,15,45,0.9572,0.0428,0.0,0.9572,0.0428,0.0
203,lstm,15,50,0.98354,0.01646,0.0,0.98354,0.01646,0.0
204,lstm,20,25,0.00434,0.9956,6e-05,0.00434,0.9956,6e-05
205,lstm,20,30,0.00802,0.99196,2e-05,0.00802,0.99196,2e-05
206,lstm,20,35,0.0517,0.9483,0.0,0.0517,0.9483,0.0
207,lstm,20,40,0.78314,0.21686,0.0,0.78314,0.21686,0.0
208,lstm,20,45,0.98622,0.01378,0.0,0.98622,0.01378,0.0
209,lstm,20,50,0.94734,0.05266,0.0,0.94734,0.05266,0.0
210,lstm,25,30,0.00022,0.99978,0.0,0.00022,0.99978,0.0
