index,model_name,max_seq_length,vocab_size,use_punct,embedding_dim,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,train_loss_std,train_acc_std,val_loss_std,val_acc_std,test_loss_std,test_acc_std,precision_micro_std,recall_micro_std,f1_micro_std,precision_macro_std,recall_macro_std,f1_macro_std,precision_weighted_std,recall_weighted_std,f1_weighted_std
10,text cnn,5,1700,True,50,1.1347511799999999,60.683734599999994,1.2690381800000001,56.28349319999999,1.18228426,58.176005700000005,0.582331643736423,0.582331643736423,0.582331643736423,0.5598935284097618,0.5101376475258796,0.5598935284097618,0.5850703941423822,0.582331643736423,0.5637303662790918,0.005511211617703626,0.18104343257117678,0.00719949054737745,0.26276242107010395,0.005697253466598396,0.2738147820699455,0.002867137847047835,0.002867137847047835,0.002867137847047835,0.012287622281373135,0.008029536568652098,0.012287622281373135,0.009608798612552632,0.002867137847047835,0.00548706358966852
11,text cnn,40,1700,True,50,1.14953889,59.986805000000004,1.2609519399999995,56.40136100000001,1.1306371799999997,59.25574730000001,0.5929761042722665,0.5929761042722665,0.5929761042722665,0.5661201603785403,0.5240555498469838,0.5661201603785403,0.589660996983166,0.5929761042722665,0.5705339738563941,0.00692750719498407,0.17077729254532473,0.007169432543979099,0.33192869993017154,0.008420489435075675,0.7021404488043143,0.006496422884200814,0.006496422884200814,0.006496422884200814,0.015511943732689363,0.008033466101388255,0.015511943732689363,0.007845835330766122,0.006496422884200814,0.007618644784137966
12,text cnn,35,1700,True,50,1.1458983999999997,60.12508319999999,1.2586138,56.3592718,1.14480334,58.9806021,0.5900434467776974,0.5900434467776974,0.5900434467776974,0.5737203766339312,0.5196268952361319,0.5737203766339312,0.5926677154768084,0.5900434467776974,0.5690824966608986,0.010207121711497928,0.2746750253541234,0.007749231551723208,0.2870332500525591,0.014996842134574018,0.5588837875486895,0.005562148127206598,0.005562148127206598,0.005562148127206598,0.013957745083329576,0.011835319455584812,0.013957745083329576,0.008429475009766223,0.005562148127206598,0.0059942672492346635
13,text cnn,30,1700,True,50,1.14757803,60.0303947,1.2690116200000001,56.108218799999996,1.1467155,58.756466,0.5883417813178855,0.5883417813178855,0.5883417813178855,0.5737825662568217,0.5208437930981302,0.5737825662568217,0.5960033232261872,0.5883417813178855,0.5696030030525685,0.006188135556593525,0.20301858266564163,0.006626035280584956,0.2306021271819566,0.019581672506652208,0.8958778821415576,0.00851666848388966,0.00851666848388966,0.00851666848388966,0.018580508244435846,0.010094993276388983,0.018580508244435846,0.008933229012252977,0.00851666848388966,0.00860344910482204
14,text cnn,25,1700,True,50,1.14647533,60.119867299999996,1.2615370599999998,56.32753140000001,1.1417986900000001,59.1601996,0.5918537291817524,0.5918537291817524,0.5918537291817524,0.5704432249985618,0.520227081212139,0.5704432249985618,0.5929607443600341,0.5918537291817524,0.570074528970811,0.007576579690958347,0.22738062079744745,0.003976310984149288,0.16642862815513693,0.010062146418185347,0.46124563839869676,0.004611544157191172,0.004611544157191172,0.004611544157191172,0.014113396865467656,0.007573123021400589,0.014113396865467656,0.009789152717587532,0.004611544157191172,0.005122215032139166
15,text cnn,20,1700,True,50,1.1465571300000001,60.0556331,1.26497914,56.16188689999999,1.13701388,59.168102399999995,0.5922519913106445,0.5922519913106445,0.5922519913106445,0.5724001891068383,0.5239248302178368,0.5724001891068383,0.59404697103399,0.5922519913106445,0.5702186908836252,0.009008092922854274,0.25453333249364507,0.0065398219928544015,0.19160068844080053,0.00973259012765309,0.3475892682000126,0.003223906899746823,0.003223906899746823,0.003223906899746823,0.016467074444286176,0.0063618422055227684,0.016467074444286176,0.007458630298311728,0.003223906899746823,0.005785056978655264
16,text cnn,15,1700,True,50,1.14322743,60.2078948,1.2670872499999999,56.1241217,1.1451668400000001,59.2722686,0.5929036929761041,0.5929036929761041,0.5929036929761041,0.578796344243053,0.5306920596809184,0.578796344243053,0.6009893962518078,0.5929036929761041,0.577050796391553,0.006720462134250092,0.19409593259221924,0.008293556344033986,0.401571598246482,0.010404576908713518,0.4645357045935914,0.004500128867553543,0.004500128867553543,0.004500128867553543,0.01360225171769427,0.008267129618651399,0.01360225171769427,0.00914969147039811,0.004500128867553543,0.0072750161647591694
17,text cnn,10,1700,True,50,1.13664472,60.467548599999986,1.26707488,56.362762700000005,1.14964943,58.62356200000001,0.5866039102099928,0.5866039102099928,0.5866039102099928,0.5673023352743705,0.5164724952374825,0.5673023352743705,0.587251028023751,0.5866039102099928,0.5660083626982791,0.008853600604625363,0.2925821808750489,0.006514397077891719,0.1761367591661837,0.006179556149478342,0.6365593630655718,0.006202811722806033,0.006202811722806033,0.006202811722806033,0.010942000181664148,0.005930251176646804,0.010942000181664148,0.007598046916893736,0.006202811722806033,0.005805416197583461
18,text cnn,45,1700,True,50,1.14547494,60.178279599999996,1.2629675800000002,56.241477599999996,1.14012922,58.914510700000015,0.5895365677045619,0.5895365677045619,0.5895365677045619,0.5726996697043096,0.5181670044110571,0.5726996697043096,0.5920897048076919,0.5895365677045619,0.567354443450684,0.006652777471469278,0.2143058241434973,0.006154808196271357,0.20057821314290314,0.013014615648808946,0.5411604147539623,0.00523015340605447,0.00523015340605447,0.00523015340605447,0.022644965260837757,0.008063706651356901,0.022644965260837757,0.01196834197766657,0.00523015340605447,0.0059535916726689
19,text cnn,50,1700,True,50,1.1455974599999998,60.136946399999985,1.2607578700000002,56.383436599999996,1.14237953,58.92169540000001,0.589608979000724,0.589608979000724,0.589608979000724,0.5676798652674904,0.5190791123179875,0.5676798652674904,0.5899495728502581,0.589608979000724,0.5660942924973452,0.006131123983631941,0.24323978247820585,0.004037465930795341,0.18620447720551173,0.017352939064355134,0.7078109134628784,0.00670266414316283,0.00670266414316283,0.00670266414316283,0.01775790341345418,0.01037412517506737,0.01775790341345418,0.010329805380767946,0.00670266414316283,0.008307831989454104
