index,model_name,embedding_type,embedding_dim,vocab_size,max_seq_length,use_punct,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,train_loss_std,train_acc_std,val_loss_std,val_acc_std,test_loss_std,test_acc_std,precision_micro_std,recall_micro_std,f1_micro_std,precision_macro_std,recall_macro_std,f1_macro_std,precision_weighted_std,recall_weighted_std,f1_weighted_std
41,dcnn,glove,150,10000,128,True,0.79881961,74.39342760000001,0.7615738860000001,75.1210093,0.842879052,72.85612180000001,0.7299583231184114,0.7299583231184114,0.7299583231184114,0.4455505089604307,0.344902925909886,0.4455505089604307,0.6990291113721713,0.7299583231184114,0.7018096029886629,0.0018923588164686566,0.06634916972469192,0.005818884010864379,0.13284230738573727,0.009401099578685032,0.37486227782207837,0.003644079454360295,0.003644079454360295,0.0036440794543602458,0.034156128557262376,0.015461395091165404,0.034156128557262376,0.004011897173674954,0.003644079454360295,0.003941039319252326
42,dcnn,glove,200,10000,128,True,0.7914728200000001,74.61789959999999,0.762245796,75.2153891,0.853758378,72.76041710000001,0.7288305957342485,0.7288305957342485,0.7288305957342485,0.4507534017259484,0.3589975152054231,0.4507534017259484,0.7014931657058002,0.7288305957342485,0.7018243446426654,0.002315640780273738,0.08886712118063073,0.006031224209860288,0.2160347731384672,0.006957851138265469,0.4887431565619183,0.004818602925567836,0.004818602925567836,0.004818602925567857,0.028662940773381666,0.019884327918114612,0.028662940773381666,0.00652325256446515,0.004818602925567836,0.006183152036448297
43,dcnn,glove,250,10000,128,True,0.7861449759999999,74.7630597,0.7633016259999998,75.2099054,0.853156759,72.87125710000001,0.7298602598676147,0.7298602598676147,0.7298602598676146,0.43638929466229986,0.35166878710749705,0.43638929466229986,0.7009659135950581,0.7298602598676147,0.7040514619296225,0.0023435828762160987,0.089931357010726,0.006223952422526334,0.2655313684043974,0.013210075654507457,0.47269294512904636,0.0048199886168961955,0.0048199886168961955,0.004819988616896211,0.036762930643668146,0.015079228270275974,0.036762930643668146,0.0068476692610591194,0.0048199886168961955,0.005331377473861342
44,dcnn,glove,300,10000,128,True,0.7799035049999999,74.91128749999999,0.7635736200000001,75.27875329999999,0.8585848070000001,72.81559370000001,0.7294680068644276,0.7294680068644276,0.7294680068644276,0.442968954908157,0.3479124203757113,0.442968954908157,0.7004458200870414,0.7294680068644276,0.7033138654725555,0.002318541470130904,0.06811033615841096,0.00651407346337317,0.2608475884023901,0.010420439512628834,0.551013087218251,0.005476112862211741,0.005476112862211741,0.005476112862211764,0.018318674125135614,0.016385248103020014,0.018318674125135614,0.005929571703400083,0.005476112862211741,0.006245488522807436
45,dcnn,numberbatch,100,10000,128,True,0.8101343810000001,74.54329470000002,0.7991027410000001,74.5518347,0.900065984,72.451987,0.7260112772738415,0.7260112772738415,0.7260112772738416,0.4197907856327265,0.34734424183194895,0.4197907856327265,0.6947398908024505,0.7260112772738415,0.7002842677845532,0.005480827539408961,0.12942026030043458,0.007739564925965287,0.16983139726344673,0.01462737689197835,0.3202942847157214,0.003267140230244219,0.003267140230244219,0.0032671402302441623,0.022690218924944244,0.02102560021990371,0.022690218924944244,0.006906991398273572,0.003267140230244219,0.004450072614515483
46,dcnn,numberbatch,150,10000,128,True,0.798655102,74.9031613,0.800838246,74.6324223,0.8961245809999999,72.4047867,0.7253983819563617,0.7253983819563617,0.7253983819563617,0.4301565702301186,0.3511115067258185,0.4301565702301186,0.6961270870457317,0.7253983819563617,0.6999560102466401,0.0027738353811596686,0.07369419861088666,0.011814595039271649,0.30212019283944047,0.012648733267909539,0.5410140729395819,0.0054138084149344965,0.0054138084149344965,0.005413808414934487,0.02754229924691586,0.01285877462740264,0.02754229924691586,0.007386850025131864,0.0054138084149344965,0.005338909094353472
47,dcnn,numberbatch,200,10000,128,True,0.7934104230000001,75.05486619999999,0.8043797549999999,74.53654750000001,0.89789025,72.6518561,0.7276293209119882,0.7276293209119882,0.7276293209119882,0.42470518848575817,0.34824066978942136,0.42470518848575817,0.6970310406245894,0.7276293209119882,0.7025565702079274,0.004288892415098565,0.10219072841484167,0.009066139673010688,0.2966978426739679,0.015382485933910518,0.4260383093135707,0.004380951263767326,0.004380951263767326,0.004380951263767326,0.024749612806188946,0.01264706088614513,0.024749612806188946,0.0036779680026670543,0.004380951263767326,0.003855452742244204
48,dcnn,numberbatch,250,10000,128,True,0.7850601270000002,75.25563149999999,0.800213149,74.7438157,0.8824730410000001,72.78450649999999,0.7291002696739397,0.7291002696739397,0.7291002696739397,0.42937956126150817,0.3518234862878328,0.42937956126150817,0.6976707859913293,0.7291002696739397,0.7037848463323803,0.0038107279248897428,0.12538867144314833,0.004862968481558603,0.18965352497063978,0.007302383456428528,0.410769613670147,0.0042603940174020275,0.0042603940174020275,0.00426039401740202,0.029656279768715727,0.00811253075265008,0.029656279768715727,0.004270575443804097,0.0042603940174020275,0.004127799696872457
49,dcnn,numberbatch,300,10000,128,True,0.7792912500000001,75.37151630000001,0.793589365,74.8866222,0.8839334149999999,72.6559263,0.7279480264770777,0.7279480264770777,0.7279480264770777,0.43487921723670625,0.3577536212598705,0.43487921723670625,0.6994684037001188,0.7279480264770777,0.7037353755662293,0.005387511733248366,0.1282083559393765,0.007329229210542665,0.20766012785949534,0.010345115650475663,0.48867302113400374,0.004841554050654243,0.004841554050654243,0.004841554050654243,0.024555319006185954,0.010733960311030064,0.024555319006185954,0.005737358074787166,0.004841554050654243,0.0043741964894854915
50,dcnn,random,100,10000,128,True,0.8212626799999999,73.5660999,0.800911698,73.8438429,0.903577707,71.07031300000001,0.7123314537876931,0.7123314537876931,0.7123314537876931,0.4593689683347525,0.3627139006667971,0.4593689683347525,0.6801431947659069,0.7123314537876931,0.6826807761187585,0.0017644313260021247,0.07190035237968123,0.003201032365537351,0.21671407391278513,0.00868314379046754,0.4456174500837173,0.004495605605989277,0.004495605605989277,0.004495605605989259,0.028419338058042906,0.01947891321311281,0.028419338058042906,0.00372417678920234,0.004495605605989277,0.005039959139130564
