index,model_name,embed_type,model_A,model_B,P({a} > {b}),P({a} == {b}),P({b} > {a}),left,within,right
7,rcnn,fasttext,250,150,0.00018,0.99976,6e-05,0.00018,0.99976,6e-05
8,rcnn,fasttext,250,300,0.0,0.99982,0.00018,0.0,0.99982,0.00018
9,rcnn,fasttext,300,150,0.0,1.0,0.0,0.0,1.0,0.0
0,rcnn,numberbatch,100,150,0.0,0.99944,0.00056,0.0,0.99944,0.00056
1,rcnn,numberbatch,200,100,2e-05,0.99996,2e-05,2e-05,0.99996,2e-05
2,rcnn,numberbatch,200,150,0.00012,0.99986,2e-05,0.00012,0.99986,2e-05
3,rcnn,numberbatch,200,250,0.0,0.9992,0.0008,0.0,0.9992,0.0008
4,rcnn,numberbatch,250,100,0.00124,0.99876,0.0,0.00124,0.99876,0.0
5,rcnn,numberbatch,250,150,0.0,1.0,0.0,0.0,1.0,0.0
6,rcnn,numberbatch,300,100,0.00348,0.97706,0.01946,0.00348,0.97706,0.01946
7,rcnn,numberbatch,300,150,0.00212,0.96878,0.0291,0.00212,0.96878,0.0291
8,rcnn,numberbatch,300,200,4e-05,0.975,0.02496,4e-05,0.975,0.02496
9,rcnn,numberbatch,300,250,0.0,0.9646,0.0354,0.0,0.9646,0.0354
0,rcnn,word2vec,150,100,0.00122,0.99878,0.0,0.00122,0.99878,0.0
1,rcnn,word2vec,150,300,0.0,0.99996,4e-05,0.0,0.99996,4e-05
2,rcnn,word2vec,200,100,0.00212,0.9968,0.00108,0.00212,0.9968,0.00108
3,rcnn,word2vec,200,150,0.0,0.96788,0.03212,0.0,0.96788,0.03212
4,rcnn,word2vec,200,300,0.0,0.97802,0.02198,0.0,0.97802,0.02198
5,rcnn,word2vec,250,100,0.00462,0.99538,0.0,0.00462,0.99538,0.0
6,rcnn,word2vec,250,150,0.0,1.0,0.0,0.0,1.0,0.0
7,rcnn,word2vec,250,200,0.02212,0.97788,0.0,0.02212,0.97788,0.0
8,rcnn,word2vec,250,300,0.00034,0.99964,2e-05,0.00034,0.99964,2e-05
9,rcnn,word2vec,300,100,0.0031,0.9969,0.0,0.0031,0.9969,0.0
0,rcnn,deps,100,150,2e-05,0.94212,0.05786,2e-05,0.94212,0.05786
1,rcnn,deps,100,200,0.0,0.755,0.245,0.0,0.755,0.245
2,rcnn,deps,100,250,0.0,0.61486,0.38514,0.0,0.61486,0.38514
3,rcnn,deps,200,150,0.02306,0.97694,0.0,0.02306,0.97694,0.0
4,rcnn,deps,200,250,0.0,1.0,0.0,0.0,1.0,0.0
5,rcnn,deps,250,150,0.0369,0.9631,0.0,0.0369,0.9631,0.0
6,rcnn,deps,300,100,0.7157,0.2843,0.0,0.7157,0.2843,0.0
7,rcnn,deps,300,150,0.14798,0.84176,0.01026,0.14798,0.84176,0.01026
8,rcnn,deps,300,200,0.0016,0.9982,0.0002,0.0016,0.9982,0.0002
9,rcnn,deps,300,250,0.00106,0.98948,0.00946,0.00106,0.98948,0.00946
0,lstm,glove,100,150,0.0,1.0,0.0,0.0,1.0,0.0
1,lstm,glove,100,200,0.0,0.99688,0.00312,0.0,0.99688,0.00312
2,lstm,glove,100,250,0.0,0.99996,4e-05,0.0,0.99996,4e-05
3,lstm,glove,100,300,0.0,0.9938,0.0062,0.0,0.9938,0.0062
4,lstm,glove,150,200,0.0,0.99966,0.00034,0.0,0.99966,0.00034
5,lstm,glove,250,150,0.00016,0.99984,0.0,0.00016,0.99984,0.0
6,lstm,glove,250,200,2e-05,0.99998,0.0,2e-05,0.99998,0.0
7,lstm,glove,300,150,0.00302,0.99698,0.0,0.00302,0.99698,0.0
8,lstm,glove,300,200,0.00018,0.99982,0.0,0.00018,0.99982,0.0
9,lstm,glove,300,250,4e-05,0.99996,0.0,4e-05,0.99996,0.0
0,lstm,fasttext,100,150,0.0,1.0,0.0,0.0,1.0,0.0
1,lstm,fasttext,100,200,0.0,0.99962,0.00038,0.0,0.99962,0.00038
2,lstm,fasttext,100,250,0.0,0.9998,0.0002,0.0,0.9998,0.0002
3,lstm,fasttext,100,300,0.0,0.99992,8e-05,0.0,0.99992,8e-05
4,lstm,fasttext,200,150,0.00136,0.99864,0.0,0.00136,0.99864,0.0
5,lstm,fasttext,250,150,0.00084,0.99916,0.0,0.00084,0.99916,0.0
6,lstm,fasttext,250,200,0.0,1.0,0.0,0.0,1.0,0.0
7,lstm,fasttext,250,300,0.0,0.99998,2e-05,0.0,0.99998,2e-05
8,lstm,fasttext,300,150,2e-05,0.99998,0.0,2e-05,0.99998,0.0
9,lstm,fasttext,300,200,0.0,1.0,0.0,0.0,1.0,0.0
0,lstm,numberbatch,100,200,0.0,0.91186,0.08814,0.0,0.91186,0.08814
1,lstm,numberbatch,100,250,0.0,0.91908,0.08092,0.0,0.91908,0.08092
2,lstm,numberbatch,100,300,0.0,0.88098,0.11902,0.0,0.88098,0.11902
3,lstm,numberbatch,150,100,0.0006,0.9994,0.0,0.0006,0.9994,0.0
4,lstm,numberbatch,150,200,0.0,0.99998,2e-05,0.0,0.99998,2e-05
5,lstm,numberbatch,150,250,0.0,0.99994,6e-05,0.0,0.99994,6e-05
6,lstm,numberbatch,150,300,0.0,0.9999,0.0001,0.0,0.9999,0.0001
7,lstm,numberbatch,200,300,0.00016,0.99956,0.00028,0.00016,0.99956,0.00028
8,lstm,numberbatch,250,200,0.0001,0.9998,0.0001,0.0001,0.9998,0.0001
9,lstm,numberbatch,250,300,0.0003,0.99946,0.00024,0.0003,0.99946,0.00024
0,lstm,word2vec,100,250,0.0,0.18404,0.81596,0.0,0.18404,0.81596
1,lstm,word2vec,100,300,0.0,0.58118,0.41882,0.0,0.58118,0.41882
2,lstm,word2vec,150,100,0.01098,0.98902,0.0,0.01098,0.98902,0.0
3,lstm,word2vec,150,250,0.0,0.99978,0.00022,0.0,0.99978,0.00022
4,lstm,word2vec,150,300,0.0,1.0,0.0,0.0,1.0,0.0
5,lstm,word2vec,200,100,0.15616,0.84384,0.0,0.15616,0.84384,0.0
6,lstm,word2vec,200,150,0.0,1.0,0.0,0.0,1.0,0.0
7,lstm,word2vec,200,250,0.0,0.99654,0.00346,0.0,0.99654,0.00346
8,lstm,word2vec,200,300,0.0,0.98706,0.01294,0.0,0.98706,0.01294
9,lstm,word2vec,300,250,0.0,1.0,0.0,0.0,1.0,0.0
0,lstm,deps,100,150,0.0,0.99466,0.00534,0.0,0.99466,0.00534
1,lstm,deps,100,200,0.0,0.9556,0.0444,0.0,0.9556,0.0444
2,lstm,deps,100,250,0.0,0.3762,0.6238,0.0,0.3762,0.6238
3,lstm,deps,100,300,0.0,0.44796,0.55204,0.0,0.44796,0.55204
4,lstm,deps,150,300,0.0,1.0,0.0,0.0,1.0,0.0
5,lstm,deps,200,150,0.0,1.0,0.0,0.0,1.0,0.0
6,lstm,deps,200,250,0.0,0.99996,4e-05,0.0,0.99996,4e-05
7,lstm,deps,200,300,0.0,1.0,0.0,0.0,1.0,0.0
8,lstm,deps,250,150,0.0,1.0,0.0,0.0,1.0,0.0
9,lstm,deps,250,300,2e-05,0.99998,0.0,2e-05,0.99998,0.0
0,gru,glove,100,250,0.05314,0.94686,0.0,0.05314,0.94686,0.0
1,gru,glove,100,300,0.0208,0.9792,0.0,0.0208,0.9792,0.0
2,gru,glove,150,100,0.0,0.99684,0.00316,0.0,0.99684,0.00316
3,gru,glove,150,250,0.00626,0.99358,0.00016,0.00626,0.99358,0.00016
4,gru,glove,150,300,2e-05,0.9998,0.00018,2e-05,0.9998,0.00018
5,gru,glove,200,100,0.0,0.89788,0.10212,0.0,0.89788,0.10212
6,gru,glove,200,150,0.0,0.99976,0.00024,0.0,0.99976,0.00024
7,gru,glove,200,250,8e-05,0.99428,0.00564,8e-05,0.99428,0.00564
8,gru,glove,200,300,0.0,0.99762,0.00238,0.0,0.99762,0.00238
9,gru,glove,250,300,2e-05,0.99674,0.00324,2e-05,0.99674,0.00324
0,gru,fasttext,100,250,0.00012,0.99982,6e-05,0.00012,0.99982,6e-05
1,gru,fasttext,150,100,4e-05,0.99886,0.0011,4e-05,0.99886,0.0011
2,gru,fasttext,150,250,0.0,0.99664,0.00336,0.0,0.99664,0.00336
3,gru,fasttext,200,100,0.0,0.99996,4e-05,0.0,0.99996,4e-05
4,gru,fasttext,200,150,0.0001,0.9999,0.0,0.0001,0.9999,0.0
5,gru,fasttext,200,250,2e-05,0.99998,0.0,2e-05,0.99998,0.0
6,gru,fasttext,300,100,0.00014,0.99644,0.00342,0.00014,0.99644,0.00342
7,gru,fasttext,300,150,0.0,1.0,0.0,0.0,1.0,0.0
8,gru,fasttext,300,200,8e-05,0.99984,8e-05,8e-05,0.99984,8e-05
9,gru,fasttext,300,250,0.0,0.99984,0.00016,0.0,0.99984,0.00016
0,gru,numberbatch,100,150,0.0,1.0,0.0,0.0,1.0,0.0
1,gru,numberbatch,100,200,0.00498,0.99502,0.0,0.00498,0.99502,0.0
2,gru,numberbatch,200,150,0.0,0.99972,0.00028,0.0,0.99972,0.00028
3,gru,numberbatch,250,100,0.0,1.0,0.0,0.0,1.0,0.0
4,gru,numberbatch,250,150,0.0,1.0,0.0,0.0,1.0,0.0
5,gru,numberbatch,250,200,0.0,1.0,0.0,0.0,1.0,0.0
6,gru,numberbatch,300,100,0.0,0.99908,0.00092,0.0,0.99908,0.00092
7,gru,numberbatch,300,150,0.0,1.0,0.0,0.0,1.0,0.0
8,gru,numberbatch,300,200,0.00066,0.99934,0.0,0.00066,0.99934,0.0
9,gru,numberbatch,300,250,0.0,1.0,0.0,0.0,1.0,0.0
0,gru,word2vec,150,100,0.0,0.99792,0.00208,0.0,0.99792,0.00208
1,gru,word2vec,150,300,0.0,1.0,0.0,0.0,1.0,0.0
2,gru,word2vec,200,100,0.0192,0.9804,0.0004,0.0192,0.9804,0.0004
3,gru,word2vec,200,150,0.00196,0.99804,0.0,0.00196,0.99804,0.0
4,gru,word2vec,200,300,0.0,1.0,0.0,0.0,1.0,0.0
5,gru,word2vec,250,100,0.00014,0.99974,0.00012,0.00014,0.99974,0.00012
6,gru,word2vec,250,150,0.00068,0.99932,0.0,0.00068,0.99932,0.0
7,gru,word2vec,250,200,0.0,0.99984,0.00016,0.0,0.99984,0.00016
8,gru,word2vec,250,300,0.0002,0.9998,0.0,0.0002,0.9998,0.0
9,gru,word2vec,300,100,0.0,0.9991,0.0009,0.0,0.9991,0.0009
0,gru,deps,100,200,2e-05,0.99818,0.0018,2e-05,0.99818,0.0018
1,gru,deps,100,250,2e-05,0.99906,0.00092,2e-05,0.99906,0.00092
2,gru,deps,150,100,0.0031,0.9969,0.0,0.0031,0.9969,0.0
3,gru,deps,150,200,0.0,1.0,0.0,0.0,1.0,0.0
4,gru,deps,150,250,0.00324,0.99676,0.0,0.00324,0.99676,0.0
5,gru,deps,250,200,0.0,0.99986,0.00014,0.0,0.99986,0.00014
6,gru,deps,300,100,0.0006,0.9994,0.0,0.0006,0.9994,0.0
7,gru,deps,300,150,0.001,0.999,0.0,0.001,0.999,0.0
8,gru,deps,300,200,2e-05,0.99998,0.0,2e-05,0.99998,0.0
9,gru,deps,300,250,0.0012,0.99878,2e-05,0.0012,0.99878,2e-05
